number	class	seated_in	excision_reason	prev_seated	next_seated	entry_text	chat_mentions	repo_files	conversation	conversation_title	date	msg	chat_prose
176	UNSEATED-NO-TRACE			175	178		0						
177	UNSEATED-NO-TRACE			175	178		0						
190	RELOCATED	WORKING-REGISTER.md	A-production	189	191	**A SYMBOL THAT NEVER PRINTED.** *The recovery operator ℛ uses U+1D4E1 and the diagnostic operator ⅅ uses U+1D49F. No DejaVu face carries either. Every render of this book placed a blank box instead — 107 of them across 44 pages — and every	11		71fbff63-e72f-4fe7-8074-bb60a026dfcb	time travel	2026-08-01	41	is exactly this failure. Worth noting the paper uses ℛ at U+211B and ⅅ at U+2145, the letterlike block, where the book used the math-alphanumeric codepoints no DejaVu face carries. The render caught a defect my own glyph audit missed, and it is register 190's exact shape: I tested the **regular** face and the text uses **bold**. `Missing character: There is no ⅅ (U+2145) in font FreeSerif Bold` An audit that reads the wrong artefact will pass anything. Fixing at the source rather than the symptom. Clean render, zero missing characters. Now audit 5 — read the built artefact, not the source. Rendered: **20 pages, A4, searchable, 922 KB.** XeLaTeX via pandoc with FreeSerif, table of contents with PDF bookmarks, running heads. Audit 5 run on the built artefact, not the source: | check | result | |---|---| | missing characters | **0** | | fonts embedded / subsetted / with unicode maps |
196	RELOCATED	WORKING-REGISTER.md	C-internal	195	197	"**A STATUS TABLE TWO REVISIONS STALE.** *§32.3 still read ""nine literatures entered, nine named and unentered"" and ""order recovery beyond trees: open"". Both superseded the same day.* <!-- EXCISED 199 : C-internal --> ### 199 **FOUR CROSS-RE"	0						
199	RELOCATED	WORKING-REGISTER.md	C-internal	198	200	"**FOUR CROSS-REFERENCES IN THE SHIPPED BUILD — THE PREFACE TWICE DIRECTING THE WITHDRAWALS TO CHAPTER 27, THE CONSEQUENCES TO ""CHAPTERS 8 TO 10"", AND CHAPTER 14 CITING ""THEOREM 7.1"" — STALE AGAINST THE RENUMBERING THEY SURVIVED.** *The §28."	10	drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json; drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json; drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	5f7147b4-49d3-4c64-8846-a2b19510f635	The Method 1.4	2026-07-30	124	–268 with no gaps, count matching at two hundred and sixty-eight, no indented headings, contents and body agreeing at every entry. All twelve results from this stretch verified in the source and the render — audit 7 and its rationale, all four missing references, the seven assistant protocols, the bit definition, the cover-implication result, the alphabet's closed form, the binary language. Two tasks. The alphabet first — every letter, its meaning, its weight, and what it forces. Complete, and it has a closed form. Let me verify the split before writing it. **The alphabet, defined** — A.19.0. It turns out to have a closed form, so it needn't be memorised at all. **Every generator is the least cell with one coordinate at one value:** generator (c, v) is min{ x ∈ Λ : x_c ≥ v }, and every join-irreducible has that shape. So the alphabet's size is **Σᵢ (|Aᵢ| − 1)** — one l
202	RELOCATED	WORKING-REGISTER.md	B-session	201	203	**THE TOWER SESSION'S THREE ENTRIES WRITTEN IN UNDER A SECTION NUMBER ALREADY IN USE — A SECOND 21.8 — AND ANCHORED BEFORE 21.7, OUT OF SEQUENCE.** *The §28.1 pattern at the structural layer: an insertion asserted correct against a numberin	6	drive/The Method Materials/CORPUS/INTEGRATION-transitions.md; drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json; drive/The Method Materials/Claude Projects/01a00c16-a815-7288-b7a8-a8f3d3e57f8f.json	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	2026-08-03	37	's defect committed by me: I anchored 412–414 after entry 397, so they sit *before* 398–411. # Promoted **§18.4.1 now reads:** > **AN OPEN INDEX DOES NOT CLOSE ITSELF, EXCEPT WHERE A CERTIFICATE EXHIBITS AN OPERATION ON ITS COORDINATE SYSTEM REACHING A FIXED POINT OF ℛ — AND THAT CERTIFICATE IS THE REALISER.** Twenty of twenty-one audits pass; PROJECTION remains the stale-artefact flag and closes on the next build. ## What the promotion repaired The clause had no falsifier. *Realised in the object's own structure* named no test a candidate had to pass, so the law was confirmed by naming and refutable only by failing to name — a **decision** in §2.18's sense, and §4.6's forbidden shape: a check not shown capable of returning a failure. The certificate form states it. The admitted operations are the ones the book already carries — relabel, re-coordinatise, refine a fibration, drop a
204	RELOCATED	WORKING-REGISTER.md	C-internal	203	205	**FOUR FIGURE CAPTIONS WRITTEN BEFORE THE FIGURES WERE READ; TWO MISDESCRIBED WHAT THEY SHOWED.** *Recaptioned from the rendered images.* <!-- EXCISED 272 : A-production --> ### 272 **THE PRESS CARRIES HARDCODED COPIES OF THE TITLE PAGES** 	0	drive/The Method Materials/LOWDIN-DELIVERY-1/The_Method_1_6_BUILD150_compendia_papers_audits.md; drive/The Method Materials/LOWDIN-DELIVERY-1/The_Method_1_6_BUILD151_compendia_papers_audits.md; drive/The Method Materials/LOWDIN-DELIVERY-1/The_Method_1_6_BUILD152_compendia_papers_audits.md					
206	RELOCATED	WORKING-REGISTER.md	C-internal	205	207	**STALE FIGURES LEFT BEHIND THEIR OWN CORRECTION.** *Two counts left by a sweep that matched only the phrasings it expected; Appendix D asserting a total its own table contradicted; that table still printing the old total four entries after	1		71fbff63-e72f-4fe7-8074-bb60a026dfcb	time travel	2026-08-01	1	", 210, and 269 where outdated figures persisted after being superseded. This is a real defect that all twenty audits missed. Let me search the text to confirm this finding. I also need to verify the exact wording in §30.1.3 and check whether Part I is actually positioned at the front as claimed. There's another discrepancy I'm noticing: §4 claims ""Three hundred and twenty-eight entries stand in the register"" but the register itself contains 342 entries—register 337 indicates audit 3's pattern was corrected to compute from the register's actual maximum, so I need to check whether §4's count is outdated. I'm noticing a contradiction in the text around line 7167-7169 where the author claims the book's ordering is still unresolved, but this has actually been addressed by a later register entry that moved Part I to the front. The present-tense statement is now outdated and needs to be fla"
210	RELOCATED	WORKING-REGISTER.md	C-internal	209	211	**STALE FIGURES LEFT BEHIND THEIR OWN CORRECTION.** *Two counts left by a sweep that matched only the phrasings it expected; Appendix D asserting a total its own table contradicted; that table still printing the old total four entries after	2	drive/The Method Materials/CORPUS/MAIN_AUDIT.md; drive/The Method Materials/Claude Projects/019fb976-90a6-71ba-b0f5-e2951677c527.json; drive/The Method Materials/Claude Projects/01a007df-8496-7003-8ea0-3fc05f77c7bd.json	5f7147b4-49d3-4c64-8846-a2b19510f635	The Method 1.4	2026-07-30	116	, though far milder, and I'm recording it rather than asserting a defect on a coarse parse. **And the References were carrying a real hole.** **Baker & Pixley 1975, Bergman's Double-projection Theorem, and Kimura–Makino–Yamada–Yoshizumi 2024** — cited in §§22.11 and 22.12, absent from the end matter. Those are the three precedents this session located: the ones that place A.2 and E(X) = 0 in existing literature. **The book's most consequential citations were the ones it didn't list.** All three entered now. The reason none of the six audits caught it: they check the body for coherence and had never been pointed at the bibliography. Entry 261, register at two hundred and sixty-one. Title page verifies — but F names two objects. Checking whether the book connects them, then the rest. Two need a closer look — Appendix A's numbering and the Index's actual size. A.9's title starts
260	RELOCATED	WORKING-REGISTER.md	A-production	259	261	**MARKUP THAT OPENED IN ONE UNIT AND CLOSED IN ANOTHER.** *Emphasis straddling a table cell, then a line break inside a callout. Two instances; the press now escapes and joins before parsing emphasis, in both.* <!-- EXCISED 287,344,358 : C-	2		5f7147b4-49d3-4c64-8846-a2b19510f635	The Method 1.4	2026-07-30	132	and 264. Entry 274. Register at two hundred and seventy-four. One honest limit, stated in the entry: E(audits) = 0 is a claim about the three coordinates — *reads*, *compares against*, *costs*. Whether those are the right three is a question the audit set cannot ask of itself. Defining them means running them — B.2.19.3 forbids the alternative. Let me build all eleven and fire them. Four of the eleven fire on their first run. Investigating before writing them in. Applying B.2.19.7 to their output: two are real, two are my detectors. Fixing the real ones and writing all eleven in. Defined, run, and retained. **Eighteen prime audits over seventeen cells — E(audits) = 0.** **The eleven:** *CELL* (every cell satisfies χ alone), *DISTINCTNESS* (no duplicates, encodings injective), *SCOPE* (every quantitative claim carries its own conditions), *ANTECEDENT* (every heading h
