# Hf I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Hf+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Hf+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Hf II (5d.6s2 2D<3/2>)  55047.9 cm-1
#
# 5d2.6s2 ground. NO Rydberg series at all — the whole table is
# configuration mixing among 5d/6s/6p/7s. Zero one-electron-outside
# structure, so R 1597's keyability bound refuses the species entirely.
# Captured regardless; the refusal is the index's, not the data's.
#
# ** A TERM NOTATION NO OTHER SPECIES USES: FOUR-DIGIT NUMBERS.
#    "3499", "3512", "4384*", "4426*", "4514*", "4546*", ... "5812*".
#    Each equals the level's own energy in cm-1 rounded to the nearest
#    ten — 3499 sits at 34991.659, 5812* at 58115.295. NIST is naming
#    the level BY ITS ENERGY because no term could be assigned. **
#
#    ** THAT IS THE END POINT OF THE NOTATION SEQUENCE THIS FETCH HAS
#       BEEN TRACKING. Letters distinguish terms sharing a symbol;
#       digits distinguish them further; angle brackets and query marks
#       mark uncertainty; and here the term collapses entirely and the
#       level is labelled by the only thing known about it — where it
#       is. FIFTY-SEVEN such rows. **
#
# Also present: DOUBLE-LETTERED PARENTS in the configuration, deeper
# than Zr I's — "5d2.(a 3F).6s.(a 4F).6p" carries TWO lettered parents
# in one configuration string.
# One J written "1 or 2". Query marks on terms (5P?, 5F?, 3F?) and
# configurations (6s2.6p2?). Two levels above the limit.
#
# The LS-termed block is transcribed. The 57 energy-labelled rows are
# NOT — they carry no L, no S, no channel.
#
# config	term	J	level_cm1
5d2.6s2	a 3F	2	0.0000
5d2.6s2	a 3F	3	2356.6756
5d2.6s2	a 3F	4	4567.6413
5d2.6s2	a 3P	0	5521.7776
5d2.6s2	a 3P	1	6572.5498
5d2.6s2	a 3P	2	8983.7652
5d2.6s2	a 1D	2	5638.6151
5d2.6s2	a 1G	4	10532.5690
5d2.6s2	1S	0	20328.402
5d3.(b 4F).6s	a 5F	1	14092.2938
5d3.(b 4F).6s	a 5F	2	14740.6924
5d3.(b 4F).6s	a 5F	3	15673.341
5d3.(b 4F).6s	a 5F	4	16766.637
5d3.(b 4F).6s	a 5F	5	17901.320
5d3.(b 4F).6s	b 3F	2	23327.739
5d3.(b 4F).6s	b 3F	3	25281.843
5d3.(b 4F).6s	b 3F	4	27074.542
5d3.(b 4P).6s	a 5P	1	20784.857
5d3.(b 4P).6s	a 5P	2	20908.462
5d3.(b 4P).6s	a 5P	3	22199.110
5d3.(b 4P).6s	b 3P	1	28527.998
5d3.(b 4P).6s	b 3P	2	30146.412
5d3.(b 4P).6s	b 3P	0	30298.763
5d3.(b 2G).6s	a 3G	3	22880.262
5d3.(b 2G).6s	a 3G	4	23252.852
5d3.(b 2G).6s	a 3G	5	24085.183
5d3.(b 2G).6s	a 1G	4	30501.127
5d3.(c 2D).6s	a 3D	1	23641.389
5d3.(c 2D).6s	a 3D	2	25084.172
5d3.(c 2D).6s	a 3D	3	26715.403
5d3.(c 2D).6s	b 1D	2	31119.208
5d3.(b 2P).6s	c 3P	0	25444.379
5d3.(b 2P).6s	c 3P	1	26918.146
5d3.(b 2P).6s	c 3P	2	28200.544
5d3.(b 2P).6s	a 1P	1	32091.617
