# B I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=B+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=B+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# ** SEVEN LIMITS — more than any species in the queue: **
#   B II (2s2      1S<0>)      66928.040   <- the 2s2.nl series
#   B II (2s.2p  3P*<0>)      104263.58
#   B II (2s.2p  3P*<1>)      104269.69
#   B II (2s.2p  3P*<2>)      104285.84
#   B II (2s.2p  1P*<1>)      140324.55
#   B II (1s.2s2.2p 3P*)     1618600      <- K-SHELL HOLE states
#   B II (1s.2s2.2p 1P*)     1634540
#
# ** THE FIRST n=2 CORE IN THE QUEUE. Every other species has a 3s/3p/3d
#    or 4s core; B I's is 2s2. So the one-electron-outside structure is
#    now held at THREE shells: **
#      n=2:  B I                          2s2.nl
#      n=3:  K VII, Ca VIII, Sc IX, Ti X  3s2.nl
#      n=4:  Ge II, As III, Se IV, Br V   4s2.nl
#    THAT IS BOARD ROW 17's COMPARISON AT THREE SHELLS.
#
# The 2s2.nd series runs n = 3..39 — the second-deepest in the queue
# after Ge I. s to 10, p to 9, d to 39, f to 11.
#
# ** A J-NOTATION NOT SEEN BEFORE: unresolved pairs written "1/2,3/2"
#    and "3/2,5/2" — the two fine-structure components measured
#    together and not separated. NOT the same as a missing J. Kept
#    verbatim; the reading pass must not read "1/2,3/2" as a value. **
#
# +x rows carry an unknown additive constant and cannot yield a defect.
# The 1s-hole block at ~1.5 million cm-1 is a K-SHELL vacancy series and
# converges on the last two limits; kept separate.
#
# config	term	J	level_cm1	note
2s2.2p	2P*	1/2	0.0000	
2s2.2p	2P*	3/2	15.287	
2s2.3s	2S	1/2	40039.6907	
2s2.3p	2P*	1/2	48611.8663	
2s2.3p	2P*	3/2	48613.6486	
2s2.3d	2D	3/2	54767.6944	
2s2.3d	2D	5/2	54767.8387	
2s2.4s	2S	1/2	55010.2338	
2s2.4p	2P*	1/2	57786.4336	
2s2.4p	2P*	3/2	57787.0683	
2s2.4d	2D	3/2	59993.45	
2s2.4d	2D	5/2	59993.45	
2s2.4f	2F*	5/2	60031.0762	
2s2.4f	2F*	7/2	60031.0816	
2s2.5s	2S	1/2	60146.414	
2s2.5p	2P*	1/2,3/2	61433.59	unresolved-J
2s2.5d	2D	3/2	62485.504	
2s2.5d	2D	5/2	62485.504	
2s2.5f	2F*	5/2	62516.5592	
2s2.5f	2F*	7/2	62516.5592	
2s2.6s	2S	1/2	62482.167	
2s2.6p	2P*	1/2,3/2	63263.24	unresolved-J
2s2.6d	2D	3/2	63845.323	
2s2.6d	2D	5/2	63845.323	
2s2.6f	2F*	5/2	63866.326	
2s2.6f	2F*	7/2	63866.326	
2s2.7s	2S	1/2	64156.017	
2s2.7p	2P*	1/2,3/2	64308.39	unresolved-J
2s2.7d	2D	3/2	64665.353	
2s2.7d	2D	5/2	64665.353	
2s2.7f	2F*	5/2	64679.745	
2s2.7f	2F*	7/2	64679.745	
2s2.8s	2S	1/2	64792.09	
2s2.8p	2P*	1/2,3/2	64964.3	unresolved-J
2s2.8d	2D	3/2	65197.29	
2s2.8d	2D	5/2	65197.29	
2s2.8f	2F*	5/2	65207.38	
2s2.8f	2F*	7/2	65207.38	
2s2.9s	2S	1/2	65270.19	
2s2.9p	2P*	1/2,3/2	65400.7	unresolved-J
2s2.9d	2D	3/2,5/2	65561.68	unresolved-J
2s2.9f	2F*	5/2,7/2	65568.95	unresolved-J
2s2.10s	2S	1/2	65609.38	
2s2.10d	2D	3/2,5/2	65822.14	unresolved-J
2s2.10f	2F*	5/2,7/2	65827.26	unresolved-J
