id	verdict	provable	claim_or_why
E-041	BOTH	DATA-NEEDED	That the arity-2/3/4 defect figures §14.6.6 credits to T §8.2 (Appendix G)'s own table are in that table.
E-078	BOTH	DATA-NEEDED	That the single run §22.1.1.1 claims to improve on exists and is printed at some site.
E-081	BOTH	DATA-NEEDED	That each of the ≥16 derived figures printed beside absent inputs — δ = 0.35, M, δ₂ = 0.06, §23.1's h/x regime, §23.9.3's V-on-T and V-on-ν columns — reproduces from inputs the store holds.
E-108	BOTH	DATA-NEEDED	That 'Bracket 66 of 66' has a population — §26.5's nine points give C(9,2) = 36 or 9 × 9 = 81 — and that the absent Rb row is not load-bearing.
C-39	BOTH	INSTRUMENT-EXISTS	Sec 14.5.13's 219-cover sample figures (the 157 against 62 fork) and sec 14.5.14's closing sentence, which register 1835 names superseded.
D-03	BOTH	INSTRUMENT-EXISTS	Thm 11.1, cited at reg L6299 but printed in none of the six volumes, must exist and carry what cites it.
D-36	BOTH	INSTRUMENT-EXISTS	The figures that reproduce under no convention — 0.058 < 0.083, 0.25 % against 0.19 %, 1.028, 15 of 19 against 17, 1779's electron count one short, 34re-02's 8/6/4 split, and the 1,748 against 1,738 denominators.
D-50	BOTH	INSTRUMENT-EXISTS	Register 1176's 'without exception', against the counterexample tools/audit_math.py prints by design (census row 1321).
E-007	BOTH	INSTRUMENT-EXISTS	Sec 11.1's 'depth of five' against the Register 331 segment.
E-018	BOTH	INSTRUMENT-EXISTS	That the residue 2,475, withdrawn by the Register, is not still asserted at L914, L2533, L3067 and L3434.
E-019	BOTH	INSTRUMENT-EXISTS	That main L3439's statement of the largest 2J_c is correct, where MC L1264 states it correctly and main slips.
E-054	BOTH	INSTRUMENT-EXISTS	That the periodic table's cell count at E = 36 is one number — 90, 118 or 120 — and that '118 elements' names the same object the 90-cell table names.
E-060	BOTH	INSTRUMENT-EXISTS	That Theorems 11.1 and 11.2 exist somewhere in the six volumes, and that §18's '86 violations' reproduces under a stated reading, where fifteen readings fail.
E-061	BOTH	INSTRUMENT-EXISTS	That the audits row measures E = 16 (four sites) and not 17 (L5062), that the conserving poset's witness exists, and that the printed ratio has a population.
F-106	BOTH	INSTRUMENT-EXISTS	E(Q), which is asserted with no number, and E(Appendix D), which disagrees with §32.1.4's own table.
D-17	BOTH	INSTRUMENT-NEEDED	The sites printing a retired basis as live — the 735,091/735,092 delta-bar row, 'previous index 57/139/44' against 51/129/40, sec 34.6 live against sec 34.10's withdrawal, and the quoted '5s at 696,400' sentence that exists nowhere.
D-26	BOTH	INSTRUMENT-NEEDED	The Spectra Compendium's malformed L562 cell 'n 41-5' and SC L126's restatement of 1779's 'Z minus charge alone' against SC L90.
E-002	BOTH	INSTRUMENT-NEEDED	The D = 5 declines, and L7804/L7820 read against sec 4.4 — a computed value and a statement each carried in two incompatible forms.
E-071	BOTH	INSTRUMENT-NEEDED	That L5785's orientation cost is the largest anywhere in the book, when two counterexamples stand and L5786 is unmeasured.
E-080	BOTH	INSTRUMENT-NEEDED	That ν, δ and V all require the ionisation limit, when V taken as w/e does not.
E-087	BOTH	INSTRUMENT-NEEDED	That Proposition 23.1 holds without the hypotheses L6206 and L6208 drop, and that the second degenerate exponent behaves as claimed at p = 0.
E-093	BOTH	INSTRUMENT-NEEDED	That §23.11's matched-order figures recompute, and that the Li I row's returned verdict ('repeated structure') is one of the table's own verdicts.
E-097	BOTH	INSTRUMENT-NEEDED	That §24.3's monotone-with-ℓ claim holds over the nine channels it is stated of, where only seven means are printed.
F-063	BOTH	INSTRUMENT-NEEDED	That 19 canonical forms reduce to 12 — the reduction has no printed inputs and no witness anywhere.
C-03	BOTH	RULING-NEEDED	Register 1176's 'without exception' must survive the agreement theorem's 'only if' counterexample that audit_math.py prints by design.
C-30	BOTH	RULING-NEEDED	The measured statements held only in chat — 'the null was 96, not 28', dim(Lambda-8) = 8 being false, register 695's Ca I values, P19-P23 as Laws — must be settled against the volumes before any is homed.
E-026	BOTH	RULING-NEEDED	That L3614's 2.17-fold spread and its four cell counts reproduce, and that the privileged route L3618 asserts to exist does exist.
E-083	BOTH	RULING-NEEDED	That the ablation table's row-4 ±1σ coverage is 96.2 % or 69.6 % against the nominal 68.3 %.
C-05	OBJECT	DATA-NEEDED	Register 1177's geometry percentages must follow from the Lambda_spectra cells they were taken on.
C-06	OBJECT	DATA-NEEDED	The violation index's recorded 2,370 cells at E = 30 must follow from the arity-3 constraint the volumes print as its definition.
C-28	OBJECT	DATA-NEEDED	Priority for the result register 1450 attributes — Kitagawara and Barut 1983 against Belokolos — and the four names 1450 cites, none of which the References carry.
D-18	OBJECT	DATA-NEEDED	The year each cited work carries — Edlen 1960/1964, Janet 1928/1929, Montgomery 2014/2015, Ritz 1903/1908 — and the seventeen further authors NEAR on both lists.
D-38	OBJECT	DATA-NEEDED	The thirty-three cited-and-unbibliographed names (and Madelung's home, and the five LS objects' prior art) must have a referent, and the four bibliographed-and-uncited a citing site.
E-004	OBJECT	DATA-NEEDED	The References entries for Janet and helium-at-2, and the source of the ionization table.
E-030	OBJECT	DATA-NEEDED	That the four-scheme J-multiset claim holds over a printed witness population rather than the three chains and fifteen configurations that appear in no member.
E-034	OBJECT	DATA-NEEDED	That every result and quotation attributed in the six volumes has a References entry naming its true owner — Bergman with year and venue, Brunetti–Fredenhagen–Verch, Reeh, Takesaki, Sorce, Chandrasekaran & Flanagan.
E-038	OBJECT	DATA-NEEDED	That §14.5.9's 'ten to thirteen for twelve cycles' band, and its reverse = 40 and spread = 33, are figures a rerun reproduces rather than a record of past sessions.
E-047	OBJECT	DATA-NEEDED	That each bare count — '0 of 12', 42 %, 25 %, '120 sets', '274 of 274', '36 cells at E = 0' — is the measured value over a stated population.
E-074	OBJECT	DATA-NEEDED	That §21.6's envelope-step count, the five items §21.6.2's heading names (Registers 547/548 say four and five), the V3 geometry row and the 26-cell set each rest on a printed population.
E-075	OBJECT	DATA-NEEDED	That the companion-side and single-run figures — half-sided modular inclusion, §8.1's five chargers, §10.1's six, the Muon-Catalysed Fusion figures — are reproducible from a seated member.
E-076	OBJECT	DATA-NEEDED	That F.3's four-column standard is met where §22.1.1.1 claims it on three columns, and that the unprinted δ = 0.35 and M are the inputs the derived figures were computed from.
E-084	OBJECT	DATA-NEEDED	That Al I fails at n = 51 and Ga I at n = 53, when §23.15 gives Al I nf failing at n = 48, 51, 53 and 54 and no volume gives the Ga I cells at all.
