family	handle	proposed_title	status	evidence
3B	3B.JM	The Jacobi–Maupertuis metric	RESOLVED	SUFFIX
3B	3B.def	The deficit	RESOLVED	SUFFIX
3B	3B.five	The five fixed points	RESOLVED	SUFFIX
3B	3B.index	The index Λ₃	RESOLVED	SUFFIX
3B	3B.metric		AMBIGUOUS	2 candidates: The shape metric | The Jacobi–Maupertuis metric
3B	3B.norm		UNRESOLVED	no evidence in the volumes
3B	3B.pot	The potential on shape space	RESOLVED	SUFFIX
3B	3B.shape		AMBIGUOUS	3 candidates: Shape space and the shape sphere | The shape metric | The potential on shape space
3B	3B.tri		AMBIGUOUS	3 candidates: The shape metric | The Jacobi–Maupertuis metric | The triangle form on K₃
A	A.E		UNRESOLVED	no evidence in the volumes
A	A.EW		UNRESOLVED	no evidence in the volumes
A	A.R		UNRESOLVED	no evidence in the volumes
A	A.S		UNRESOLVED	no evidence in the volumes
A	A.W		UNRESOLVED	no evidence in the volumes
A	A.alph		UNRESOLVED	no evidence in the volumes
A	A.anchor	The anchor	RESOLVED	SUFFIX
A	A.blind	The three blindnesses	RESOLVED	SUFFIX
A	A.bound		AMBIGUOUS	2 candidates: The defect bounds | Monotone upper envelope / staircase bound
A	A.bpc		AMBIGUOUS	2 candidates: Binary path consistency / 2-decomposability (Kimura et al. 2024) | The binary-projection criterion
A	A.cert	The certificate condition	RESOLVED	SUFFIX
A	A.clos		AMBIGUOUS	8 candidates: Closure defect | The recovery operator | The step operator | Closure operator (Moore family) | Monotone upper envelope / staircase bound | The product rule for closure | The four-orientation operator | The statistics operator
A	A.dechter	Dechter 1992	RESOLVED	SUFFIX
A	A.define		UNRESOLVED	no evidence in the volumes
A	A.dens	Density and informativeness	RESOLVED	SUFFIX
A	A.derived		AMBIGUOUS	43 candidates: Closure defect | The metric defect | The recovery operator | The step operator | The walk | Projection onto coordinate i | The anchor | The three blindnesses | The defect bounds | Binary path consistency / 2-decomposability (Kimura et al. 2024) | The certificate condition | Closure operator (Moore family) | Dechter 1992 | The defining letter | Density and informativeness | Adjunction never repairs (M Thm 10.1) | Description length | Monotone upper envelope / staircase bound | E is coordinate-relative | The expression always exists | Extensivity | Bergman double-projection; Baker–Pixley 1975 (majority term) | Freuder 1982 | Global consistency (CSP) | Interior and exterior | The logic level | Failure mode A — ordering | Failure mode B — arity | Montanari 1974 | The cap as a morphism | Orientation cost | The product rule for closure | The product rule for the defect | The four-orientation operator | ℛ as a relaxation | The tightening rule | The polarisation formula | Slack | Staircase / connected row-convex | The one-corner characterisation | The statistics operator | The three populations | The binary-projection criterion
A	A.ebits		UNRESOLVED	no evidence in the volumes
A	A.env	Monotone upper envelope / staircase bound	RESOLVED	SUFFIX
A	A.erel		UNRESOLVED	no evidence in the volumes
A	A.expr	The expression always exists	RESOLVED	SUFFIX
A	A.ext		AMBIGUOUS	2 candidates: Extensivity | Interior and exterior
A	A.fix		UNRESOLVED	no evidence in the volumes
A	A.freuder		AMBIGUOUS	2 candidates: Freuder 1982 | Montanari 1974
A	A.gc		AMBIGUOUS	9 candidates: Closure defect | Projection onto coordinate i | Binary path consistency / 2-decomposability (Kimura et al. 2024) | Closure operator (Moore family) | Monotone upper envelope / staircase bound | Bergman double-projection; Baker–Pixley 1975 (majority term) | Global consistency (CSP) | The product rule for closure | The binary-projection criterion
A	A.intext		UNRESOLVED	no evidence in the volumes
A	A.logic	The logic level	RESOLVED	SUFFIX
A	A.modeA		AMBIGUOUS	2 candidates: Failure mode A — ordering | Failure mode B — arity
A	A.modeB		AMBIGUOUS	2 candidates: Failure mode A — ordering | Failure mode B — arity
A	A.montanari		AMBIGUOUS	2 candidates: Freuder 1982 | Montanari 1974
A	A.morph	The cap as a morphism	RESOLVED	SUFFIX
