id	verdict	reason
701	not a defect	C7 regex artefact of the withdrawal class. L5239's flagged token is the live citation "Register 308", which resolves (reg L1331, the grouped 288/308 heading) and whose subject — a criterion corrected against chemistry rather than an observation about chemistry — matches the sentence citing it. Measured in r2-ch13u P2: all twenty of Chapter 18's register citations resolve and each entry's subject matches its citing sentence. Precedent 678, 680-687.
1106	not a defect	C9 overgeneralisation-word artefact. L5008's "never" is the report of a defect the book is correcting in the same paragraph: the first form of the law "was never given a test a candidate had to pass", which is a statement about the prior wording, not a universal claim about the world. The sentence's own next clause supplies the failure mode the word describes as missing. Cleared.
1107	not a defect	C9 artefact. L5036's "The realiser is exhibited, never found" is a definition of the certificate form, not an empirical universal: it states that what the law requires is an exhibition, and the following sentence names the falsifier. Measured against L5020-5027, where five objects are exhibited and two return no certificate.
1108	not a defect	C9 artefact. L5048's "always" is scoped by its own antecedent - "when an index does close, something in it is doing R's work". It is the exception clause of the law, and r2-ch13t T1/T2 measured its instance on the tower: Lambda_8, Lambda_9, Lambda_10 closed with zero leaks and Lambda_11 closed by monotone bounds, i.e. the order is what realises it in every case measured.
1109	not a defect	C9 artefact. L5067's "always" states the law's own content - that E = 0 is a property of an object plus the structure realising its closure - and the sentence exists to forbid the opposite reading. Register 275 (reg L1055) carries the same statement.
1110	not a defect	C9 artefact, and the flagged token is a table cell. L5129's "never" is the exactness column of the provenance table, reading "0 - universal" for bounds taken from the index's own extent. The row's arithmetic is separately reported as 13t-03, which is about the population count of that table, not about this cell.
1111	not a defect	C9 artefact. L5135's "in every case tested" is explicitly bounded by "tested" and names its cases in the same sentence (the drawn nuclide band, Lambda_11). A scoped claim with its scope printed is the opposite of an overgeneralisation.
1112	not a defect	C9 artefact. L5140's "never" sits inside the displayed statement of the strengthened criterion - "a bound taken from the index's own extent gives its envelope and never its law" - which is the conclusion the table above it supports. The claim is definitional about provenance, not a survey result.
1113	not a defect	C9 artefact. L5157's "never where it will be" describes what a bracket asserts (containment, not location), which is section 22's stated content and resolves there - measured in r2-ch13u P1, L5156's section 22 pointer CLAIM PRESENT at L5939.
1114	not a defect	C9 artefact, and the claim is measured true elsewhere in the volume. L5220's "The book's own Q has never been empty" is section 2.18.1's finding, and that pointer resolves to the claim (r2-ch13u P1: two parents, acyclic, decision all present at L884). Register 316 carries it.
1115	not a defect	C9 artefact, and MEASURED exact. L5265's "at every cap" is quantified over the five caps printed in the table directly above it, and r2-ch13t T10 reproduces all five rows exactly: envelope join/meet failures 0/0 and exact meets 0 at (3,12), (3,16), (3,20), (4,12), (5,12).
1116	not a defect	C9 artefact, same line as 1115 and the same measurement. Duplicate flag on the second occurrence of "at every cap" in L5265.
1117	not a defect	C9 artefact with its scope printed. L5275's "It is equal, at every cap tested" carries "tested" in the sentence, and the caps are the five of the adjacent table. The prediction it answers is stated as a commitment in the preceding clause, which is the book reporting against itself.
1118	not a defect	C9 artefact. L5325's flagged token belongs to the bibliography sentence, whose figures - twenty-two sources, seven cells, admits six - agree with L5027, L5321 and L5337 (measured, r2-ch13u P8). No universal is asserted; the sentence is a count.
1119	not a defect	C9 artefact. L5328's "a bibliography is never closed" is attributed in the same clause to section 29.1, and that pointer resolves to the claim (r2-ch13u P1: search and novelty present at L7859). An attributed claim carrying its source is not an overgeneralisation.
1120	not a defect	C9 artefact, same sentence as 1119. "E(search) > 0 always" is the section 29.1 result being cited, not a fresh universal.
1121	not a defect	C9 artefact. L5366's "must" and its scope are the bracket's stated precondition - two measured neighbours - which is section 22's content and consistent with L5362's definition of delta as the value's departure from the index. Not a universal about the world.
