id	tier	title	section	claim_as_written	why_it_fails	what_settles_it	status	resolution
F-01	FATAL	Export sold at a 100 % capacity factor	I §4.2	Annual Export Volume = 1,515 MW × 8,760 h = 13,271,400 MWh/yr	A CSP plant with SM 2.1 and 16 h storage runs at a ~55 % net capacity factor, not 100 %. From the document's own field (45.6 M m², Mojave DNI ~2,750 kWh/m²/yr, 52 % annual field efficiency, 43 % cycle) the network makes ~65 TWh_th → ~28 TWh gross → ~22 TWh net of the stated 735 MW parasitic. The program sells 3,000 MW + 1,515 MW continuous = 39.6 TWh. Delivery is short of promise by ~45 %; the export line alone is overstated by 1.8× on volume before price is considered.	An hourly dispatch model over a TMY year for each node, with the sale sized to what the model delivers; sold energy may not exceed modelled net generation.	RESOLVED	tools/helios.py (docs/HELIOS.md). Hourly model of the plant as specified: 19.2 TWh net (CF 0.486) against 39.6 TWh sold; -7.0 TWh after the in-state promise. The export is not overstated, it is negative.
F-02	FATAL	Peak price applied to every hour	I §4.2	Realized Evening Peak Price $190–350/MWh × 13,271,400 MWh	Evening-peak pricing exists for roughly 1,500–2,000 h/yr; the other 6,800 h clear at $20–60/MWh, and midday often below zero. A 16 h store discharges through the peak and then through the off-peak. Even granting the volume, the price line is overstated ~4.8× on hours alone; compounded with F-01 the export revenue is overstated 5–9×. Every 'Net Cost Coverage' figure (153.7–265.1 %) and every 'Net Surplus to Treasury' figure descends from this line.	The same hourly model priced against a CAISO/WEIM historical price shape, with a stated share of energy dispatched into the peak window and the remainder at off-peak.	RESOLVED	tools/helios.py. All net energy priced at the 2024 CAISO shape earns $693 M against $1,933 M carrying; peak-first dispatch puts 33 % of energy in the 4 h window; only the $350 case clears carrying, at 2.4x any 2024 monthly HE20 average. Inverted (helios.required_price): the plant needs $102/MWh at Title I's own capex -- inside the $80-120 firm-clean band -- so self-funding is a contract question at the stated cost, and F-05 decides it.
F-03	FATAL	Lithium revenue is three orders of magnitude too small	II §2, §4, §5	Battery-Grade Lithium (LiOH) as a revenue stream that 'fully offsets operational and capital amortization expenses'	Seawater holds 0.18 mg/L Li. A 50,000 AFY module processes 61.7 M m³/yr and therefore contains ~11 t of lithium per year ≈ 67 t LiOH·H₂O ≈ $0.8 M/yr, against a $250–320 M facility and ~$50 M/yr operating cost. No one has extracted lithium from raw seawater economically; brine sources are ~1,000× more concentrated. The self-funding claim rests on this line and this line cannot carry it.	Delete the lithium line. The mineral case must be made on magnesium and gypsum alone (see F-11).	OPEN	
F-04	FATAL	ZLD energy omitted from the cost model	II §3, §4	Reject brine … transformed 100 % into pure water and dry solid minerals; Energy line $0.35/m³; total $0.85/m³	Thermal/mechanical vapour-compression crystallisation costs 20–30 kWh per m³ of brine; at ~50 % recovery the brine volume equals the product volume, so ZLD adds ~25 kWh/m³ of product — ~176 MW continuous per module, ten times the electricity the desalination itself uses. At $0.05/kWh that is ~$1.25/m³ for ZLD alone, 3.6× the entire energy line and 1.5× the stated total operating cost. The cost model as written is off by more than 2× in total.	Either delete ZLD (return brine through the existing outfall at Ocean Plan concentration — the author's 2026-09-11 direction) or carry its full energy and capital.	OPEN	
F-05	CRITICAL	Title I CapEx at best-in-world CSP price	I §4.1	Total Turnkey EPC & Switchyard CapEx: $27.2 Billion ('Audited Baseline')	$27.2 B ÷ 5.25 GW = $5.18/W. Built tower-CSP: Crescent Dunes $9/W, Cerro Dominador $12.7/W, Noor III ~$6/W; DEWA Noor 1 (hybrid, one-off) ~$4.6/W. A 16 h store and 45.6 M m² field are at the upper end of field-per-MW. Realistic band $8–12/W → $42–63 B. Debt service at $60 B and 3.85 % is $3.4 B/yr, not $1.5 B; at a realistic revenue-bond rate of 5.5 % it is $4.1 B. 'Audited' is asserted; no audit is cited.	A bottom-up cost build: heliostats ($/m²), receivers, towers, salt, tanks, power block, ACC, switchyards, owner's cost, contingency, IDC — each with a sourced unit rate.	RESOLVED	tools/heliocost.py (docs/HELIOCOST.md). Bottom-up build at the decided class, state-owned, 2028-2030 groundbreaking: $46.1 / 57.0 / 71.5 B net of the federal storage credit (low/mid/high), $8.79-13.62/W, against $27.2 B stated -- 1.70x below the low case. Required price $171 / 206 / 253 per MWh against a firm-clean band of $80-120: the criterion does not close at the scale proposed in any case. Level calibrated to NREL ATB 2024 ($7,912/kWe, SOURCED); split RECONSTRUCTED from SAM/Turchi 2019 and corroborated at 0.778 raw.
F-06	CRITICAL	Solar Multiple 5.0 does not match the stated aperture	I §2, §2.1	Micro-Heliostat Aperture: 45.6M m² Total (Solar Multiple = 5.0); Guaranteed 16-hr storage charge during winter DNI minimums	The turbine needs 12,209 MW_th at nameplate. 45.6 M m² at 950 W/m² design DNI and 60 % design-point efficiency delivers ~26,000 MW_th: SM ≈ 2.1. SM 5.0 needs ~107 M m². SM 2.1 with 16 h storage is a sound, conventional design (Crescent Dunes 2.7/10 h, Cerro Dominador 2.6/17.5 h) but it does not fill 16 h in December, when DNI is ~60 % of summer; expect 8–10 h. Either the label or the guarantee must go.	State SM = 2.1, withdraw the winter guarantee, and let the hourly model (F-01) say what December delivers.	OPEN	EVIDENCE (helios.py): at 950 W/m2 the stated aperture gives SM 2.06; SM 5.0 needs 111 M m2. December net averages 1,497 MW, 33 % of net nameplate, so the winter 16-h guarantee does not hold at the stated field. Awaiting the author's choice: keep the aperture and relabel, or keep the label and enlarge.
F-07	CRITICAL	11.4 million heliostats	I §2, §2.1	Dual-axis tracking 2 m × 2 m micro-heliostat arrays; 45.6M m²	45.6 M m² ÷ 4 m² = 11.4 million dual-axis drives. Ivanpah has 173,500; the world's installed heliostat population is of order one million. No factory, O&M model or field-control system exists within 50× of this count. The industry trend is the opposite — Crescent Dunes 116 m², Noor III 178 m² — because large units are cheapest per m².	Author's direction 2026-09-11: Noor III-class units → ~256,000 heliostats, a purpose-built line at ~100 k/yr over 30 months.	RESOLVED	Author's decision 2026-09-11, carried into heliocost.py: Noor III-class 178 m2 units, 256,180 heliostats, priced at $80-127/m2 (SOURCED band).
F-08	CRITICAL	Receiver and field per tower are 2.9× the largest ever built	I §2.1	12 Concrete Towers; 4 × 220 m towers per node	45.6 M m² ÷ 12 = 3.8 M m² and ~2,170 MW_th per receiver, against Noor III's ~1.3 M m² and ~750 MW_th. A field that size puts its far edge ~2.5 km from the tower, where atmospheric attenuation and spillage degrade optics. No receiver of this size has been designed, let alone operated.	Author's direction 2026-09-11: 36 towers of Noor III class (12 per node), same aperture, same salt, same turbines.	RESOLVED	Author's decision 2026-09-11, carried into heliocost.py: 36 towers of 250 m, 1,700 m2 receivers at 722 MW_th each -- Noor III scale, priced per SAM's tower and receiver relations.
F-09	CRITICAL	No firm transmission exists for 1,515 MW of export	I §3	Export via existing 500 kV corridors: Path 26, Path 15, Pacific DC Intertie, Devers–Colorado River	Path 15, Path 26 and the PDCI are fully subscribed; the document names no transmission rights, no interconnection queue position and no upgrade. CAISO's interconnection queue runs 5–7 years, and 5,250 MW across three 500 kV switchyards needs bay capacity that Lugo, Devers and Gates may not have. Without firm rights the export is curtailable, and curtailable export cannot back a revenue bond.	An interconnection study (or the CAISO cluster application) per node; firm transmission rights or a named upgrade; and the export re-sized to what rights exist.	OPEN	
F-10	CRITICAL	The $0.00/kWh tariff is not the Authority's to give	I §1, §5, §8	3,000,000 households transition to $0.00/kWh generation supply tariffs	Retail generation charges are set in IOU tariffs under CPUC. To zero them the CPA must become the load-serving entity for 3 M households (a ~10 GW-peak LSE, larger than SDG&E) or the Legislature must compel IOUs to pass through free power — either is a restructuring of the retail market. The document proposes neither. Selling scarcity-priced power out of state while giving in-state ratepayers $0 generation is also a dormant-Commerce-Clause exposure. (What does hold: a state instrumentality is exempt from FERC rate regulation under FPA §201(f), like LADWP and SMUD.)	Decide the retail mechanism: CPA as LSE (CCA-style, with IOU delivery), a statutory pass-through, or a bill credit; and price the export non-discriminatorily.	OPEN	
