# PROOF-FIGURES.tsv -- which held image fills each figure the volumes reference.
#
# WHY THIS FILE EXISTS. FIGURE_ASSETS.md closes: "The other 32 archived plots are dated at
# the restore point (2.13) and must be checked against their captions' numbers when placed."
# That check had never been run. It was run on 2026-09-11: every candidate image was read and
# compared against the facts its caption states -- counts, totals, axis labels, section numbers.
#
# WHAT IT FOUND. Fifteen of the restore-point plates carry a STALE FIGURE NUMBER BURNED INTO
# THE IMAGE -- the pre-rename numbering FIGURE_MAP (V16) replaced. fig00 prints "Figure 1.1"
# under a caption reading 6.1; fig11 prints "Figure 9.1" under 16.1; fig18 prints "Figure 15.1"
# under 24.1. Their BUILD8/9/13 counterparts are untitled, which is what build.py line 755
# intends: "drop the image alt line: the caption paragraph carries the figure number." The
# number belongs in the caption. A plate that burns in its own number contradicts the page.
# Six plates also disagree on DATA, not merely on a title: fig11 prints 4/4 against a caption
# of 56/56; fig18 bottoms at 1.4e-5 with no marked rises against 1.6e-6 and three; fig22 labels
# its rows section 17.6/14.4 against 25.6.1/25.6.2; fig27 reads 32 elements/16 fibres against
# 77/24 (register 1742, already recorded). The 2026-09-05 reading copy placed six of these.
#
# THE RULE, and it is one rule. Prefer the candidate whose filename already matches the
# reference -- the generation with the burned-in number removed -- wherever it exists and its
# data agrees with the caption; fall back to the legacy plate only where no such counterpart
# is held. Where several named copies exist, the highest build number wins. 18 rows resolve to
# NAMED-GENERATION, 15 to LEGACY-ONLY, none to nothing.
#
# WHAT THIS FILE IS NOT. It changes no volume. Which file fills figures/figure-15.1.png is a
# production choice for a print; the seated text is untouched. A finding is recorded, never
# repaired -- and the finding here is that the reading copy of 2026-09-05 carried six plates
# that contradict their own captions. That is recorded in W and not silently corrected away.
#
# Regenerate by re-running the caption check; never hand-edit a row without reading the image.

referenced	source_file	rule	caption_number	in_image_number	rejected	evidence
figures/figure-6.1.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-6.1.png	NAMED-GENERATION	6.1	(none)	-	Same four checkable facts match: seven categories; four bars at 0; calendar = 7; periodic table = 36. Identical data to the other candidate but with no baked-in figure number (title stripped for an ex
figures/figure-6.2.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-6.2.png	NAMED-GENERATION	6.2	(none)	-	Same census: 90 blue, 36 red, 126 total, with identical red pattern (row 1 groups 2-17; rows 2-3 groups 3-12). Matches ninety / thirty-six / one hundred and twenty-six.
figures/figure-7.1.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-7.1.png	NAMED-GENERATION	7.1	(none)	-	Same drawing without the title: eight nodes, seven edges, connected tree, every edge label a two-variable constraint. Matches "Eight nodes, seven edges, connected — a tree".
figures/figure-8.1.png	extracted/archives/restore-point-2-13/figures/fig03.png	LEGACY-ONLY	8.1	(none)	-	Two facts match verbatim in the image's own text: "17 join-irreducibles" = caption's "seventeen join-irreducibles", and "976 cells" / "976 down-sets, 976 cells" = caption's "Every one of the 976 cells
figures/figure-8.2.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-8.2.png	NAMED-GENERATION	8.2	(none)	-	Same plotted data: midpoint 11.5 − centre of mass 11.07 = 0.43 and "skew −0.43" printed; "more caps than floors" printed; identical 18 bars summing to 976. The caption's "log-concave, hence unimodal, 
figures/figure-9.1.png	extracted/archives/restore-point-2-13/figures/fig05.png	LEGACY-ONLY	9.1	(none)	-	Four caption facts matched in the image's own text. (1) Title phrase 'The occupancy measure' verbatim. (2) 'd(x,y) = t(lcm/gcd)' printed verbatim in the title, matching the caption's 'equals tau(lcm/g
figures/figure-10.1.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-10.1.png	NAMED-GENERATION	10.1	(none)	-	Same three caption numbers matched verbatim: '27.7 - 30.1%', 'across a hundredfold range', '776 million pairs, exhaustive'. Carries no conflicting figure number, the title having been stripped so the 
figures/figure-11.1.png	extracted/archives/restore-point-2-13/figures/fig07.png	LEGACY-ONLY	11.1	(none)	-	Four caption facts matched. (1) 'a path of seven' printed verbatim, and seven nodes (n, l, k, q, g, f, e) are actually drawn - count confirmed by eye. (2) 'one pendant' printed verbatim, and the singl
figures/figure-11.2.png	extracted/archives/restore-point-2-13/figures/fig08.png	LEGACY-ONLY	11.2	(none)	-	Three caption facts matched. (1) 'F(z)' and the forwards/backwards split matched by the legend, 'coefficient of z^r' as bars against 'the same read backwards' as the dashed line - exactly the caption'
figures/figure-12.1.png	extracted/archives/restore-point-2-13/figures/fig09.png	LEGACY-ONLY	12.1	(none)	-	Four caption facts matched in the image's own text. (1) 'ASCENDING SIDE - rises up the series' and 'DESCENDING SIDE - falls up the series' match 'Ascending quantities rise up a series, descending ones
figures/figure-12.2.png	extracted/archives/restore-point-2-13/fig-sections.png	LEGACY-ONLY	12.2	(none)	-	All eight stated section figures match verbatim and in order: 2,294×5 / 2,294×20 / 1,794×50 / 744×70 and Λ8 33×5 / 33×10 / 23×15 / 8×17. The title also matches the caption's opening clause word for wo
figures/figure-12.3.png	extracted/archives/the-method-1-6-figures-build9/figures/figure-12.3.png	NAMED-GENERATION	12.3	(none)	-	Same checkable facts match: "peak q = 2" with the q = 2 section point labelled "89,700"; "⟨q⟩ 1.463 → 1.887"; "solid: Λ13 · dotted: Λ8"; log axis "cells (log)". Every plotted value is identical to the
figures/figure-12.4.png	extracted/archives/restore-point-2-13/fig-tree-1.png	LEGACY-ONLY	12.4	(none)	-	Price matches: caption "priced at 3.5%", image prints "breaks the cylinder by 3.5%". Glue point matches: caption "two caterpillars glued at k–q", image title "Two caterpillars glued at k–q". Rim legen
figures/figure-12.5.png	extracted/archives/restore-point-2-13/fig-silhouette.png	LEGACY-ONLY	12.5	(none)	-	Title matches the caption clause for clause, including "plan (parent) and side (target) views" and "Λ13 filled, Λ8 dashed". The ±√-cell scale is on the axes as "±√|A(q)|" and "±√|B(q)|". The stated sh
figures/figure-15.1.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-15.1.png	NAMED-GENERATION	15.1	(none)	fig10.png prints 8.1: The printed figure number differs: the volume's caption numbers this "Figure 12.5"-series item "Figure 15.1", while the 	Three matched facts: the left panel prints "q ≤ k — a monotone bound", the caption's stated monotone bound; the centre panel prints "all eight alphabets permuted" under "no visible structure", the ca
figures/figure-16.1.png	extracted/archives/the-method-1-6-figures-build9/figures/figure-16.1.png	NAMED-GENERATION	16.1	(none)	fig11.png prints 9.1: Bracket count: caption says fifty-six of fifty-six (56/56); the image's bars are labelled 4/4 and 4/4, and its y-axis to	Matched: caption's "fifty-six of fifty-six under either charge" against the image's printed "56/56" over both Z = 1 and Z = 2. Corroborating: caption's "at Z = 1 it spreads over several units" against
figures/figure-16.2.png	extracted/archives/restore-point-2-13/figures/fig12.png	LEGACY-ONLY	16.2	(none)	-	Matched: caption's "over 140 random insertions" and "none is free" against the image title's "140 of 140"; caption's "minimum 15" against the image title's "minimum 15"; caption's "dashed line at zero
figures/figure-19.1.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-19.1.png	NAMED-GENERATION	19.1	(none)	-	Matched: same five bars, ρ=6 with four open (two blocked) on the 2011 p̄He cell, and ρ=2, 1, 1, 1 all marked "blocked" on the four German documents. Identical data to fig13.png; it differs only in car
figures/figure-21.1.png	extracted/archives/restore-point-2-13/fig-constraints.png	LEGACY-ONLY	21.1	(none)	-	Matched on every stated invariant, verbatim in the header: "12 nodes · 13 edges · cycle rank 2 · girth 5 · treewidth 2 · no triangle" against the caption's twelve nodes, thirteen edges, cycle rank 2, 
figures/figure-23.1.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-23.1.png	NAMED-GENERATION	23.1	(none)	-	Matched: the same verbatim legend entry "floor 32/11 = 2.909" against the caption's "The floor 32/11 = 2.909", plus "exact V = w/e" and "asymptote 4ν/3". Same curves and same ν = 2 marker as fig14.
figures/figure-23.2.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-23.2.png	NAMED-GENERATION	23.2	(none)	fig15.png prints 14.2: Figure number differs: caption "Figure 23.2", image's own baked-in title "Figure 14.2". The plotted content does match t	Matches "the pole at p = 1" — the only singularity drawn, a dashed line at exactly p = 1 annotated "pole at p = 1" — and "a linear observable has no curvature to price" against the image's "a straight
figures/figure-23.3.png	extracted/archives/restore-point-2-13/figures/fig16.png	LEGACY-ONLY	23.3	(none)	-	Right panel title carries "(ν = 40)", matching the caption's "at ν = 40"; the shaded band's own annotation reads "the gap is the price of certainty, and it widens", matching the caption's clause word 
figures/figure-23.4.png	extracted/archives/restore-point-2-13/figures/fig17.png	LEGACY-ONLY	23.4	(none)	-	Left panel is a per-order stacked census of cells (y-axis "cells", x-axis "order k"), matching "the fate of every cell in the collection at each order"; its legend entry "refused — wrong sign (physics
figures/figure-24.1.png	extracted/archives/the-method-1-6-figures-build9/figures/figure-24.1.png	NAMED-GENERATION	24.1	(none)	fig18.png prints 15.1: Minimum differs: caption says the fall reaches "1.6 × 10⁻⁶ in He II", but this image's y-axis stops at 10⁻⁵ and its lowe | figure-24.1.png: Same data as fig18 with the title stripped. Minimum differs: caption "1.6 × 10⁻⁶ in He II" against an axis bottoming at 	Minimum matches: the "He II (corrected series, 1758)" diamond track descends to just under 2 × 10⁻⁶ at ℓ = i, on an axis that reaches 10⁻⁶ — the caption's "1.6 × 10⁻⁶ in He II". Three rises are marked
figures/figure-24.2.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-24.2.png	NAMED-GENERATION	24.2	(none)	fig19.png prints 15.2: Figure number differs: caption "Figure 24.2", image's own baked-in title "Figure 15.2". The caption's one plotted fact d	Matches "Marker area is proportional to cells" — the image prints that rule itself as "marker area ∝ cells" — and shows the coverage of the collection over Z against ℓ with visible unfilled gaps, cons
figures/figure-24.3.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-24.3.png	NAMED-GENERATION	24.3	(none)	-	Same four checkable facts match: four circles per panel at Z_eff 1-4; crosses vs circles as predictions vs measurements; interior error 1.1% / 1.9% against "about one percent"; neutral error 11% / 23%
figures/figure-25.1.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-25.1.png	NAMED-GENERATION	25.1	(none)	-	Matches "the two curves are the failure condition at Z = 1 and Z = 2" — legend entries "(Z = 1)" and "(Z = 2)", same two curves, same tightest-bound annotation 1.40 cm⁻¹ as the other candidate. The 1,
figures/figure-25.2.png	extracted/archives/the-method-1-6-figures-build9/figures/figure-25.2.png	NAMED-GENERATION	25.2	(none)	fig22.png: Section labels differ from the caption: the image labels the monotonicity row "§17.6  monotone only" and the convexity r	Every checkable fact matches: "§25.6.1 monotone only" with δ∞ < δ(6s) < δ(5s) at "2,687 cm⁻¹"; "§25.6.2 + convexity" with δ(6s) ≥ 2δ(5s) − δ(4s) at "1,520 cm⁻¹"; the blue (convexity) bar lies inside
figures/figure-26.1.png	extracted/archives/the-method-1-6-figures-build8/figures/figure-26.1.png	NAMED-GENERATION	26.1	(none)	-	Same four facts match: "fifteen Rydberg quantities", x-axis "ν", "σ₂ = 1.8e-14" against the caption's 1.8 × 10⁻¹⁴, and "rank = 1". Carries no figure number of its own, so nothing contradicts "Figure 2
figures/figure-27.1.png	extracted/archives/restore-point-2-13/figures/fig24.png	LEGACY-ONLY	27.1	(none)	-	Five checkable facts match: the left panel's title is verbatim the caption's "what each index costs to specify beyond its own coordinates" in the image's wording "what an index costs beyond its own co
figures/figure-30.1.png	extracted/archives/restore-point-2-13/figures/fig25.png	LEGACY-ONLY	30.1	(none)	-	Four checkable facts match. (1) caption '14 of 14 at arity 3' = image label '14/14' on the arity-3 bar. (2) caption '114 of 141 at arity 4' = image label '114/141'. (3) caption 'arity 2 falls from 0.6
figures/figure-30.2.png	extracted/archives/restore-point-2-13/figures/fig26.png	LEGACY-ONLY	30.2	(none)	-	Matches on several facts. (1) caption '1, 2, 4 measured exhaustively' = the three filled 'exhaustive' markers annotated 1, 2, 4 at d = 2, 3, 4. (2) caption '8 at d = 5 by the subcube construction' = t
figures/figure-D.1.png	extracted/archives/the-method-1-6-figures-build13/figures/figure-D.1.png	NAMED-GENERATION	D.1	(none)	fig27.png: Element total differs: image title says '32 elements', caption says 'seventy-seven elements' (77). Fibre count differs: 	All of the caption's checkable facts match, and I verified them by counting rather than by trusting the title. The printed cell values sum to 77 (4 + 12 + 37 + 5 + 4 + 3 + 12), matching 'seventy-seven
