Z	charge	l	mult	delta	grade	source	B	witness	bound
1	1	0	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
1	1	1	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
1	1	2	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
1	1	3	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
1	1	4	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
1	1	5	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
1	1	6	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
1	1	7	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
2	1	0	1	0.1392	measured	captured levels	1	witnessed	-
2	1	1	1	-0.0133	measured	captured levels	0	witnessed	-
2	1	2	1	0.0007	measured	captured levels	0	witnessed	-
2	1	3	1	-0.001	measured	captured levels	0	witnessed	-
2	1	4	1	-0.0014	measured	captured levels	0	witnessed	-
2	1	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
2	1	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
2	1	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
2	1	0	3	0.2965	measured	captured levels	1	witnessed	-
2	1	1	3	0.03304	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
2	1	2	3	0.0014	measured	captured levels	0	witnessed	-
2	1	3	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
2	1	4	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
2	1	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
2	1	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
2	1	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
2	2	0	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
2	2	1	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
2	2	2	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
2	2	3	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
2	2	4	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
2	2	5	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
2	2	6	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
2	2	7	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
3	1	0	2	0.40455	measured	captured levels	1	witnessed	-
3	1	1	2	0.0783	measured	captured levels	0	witnessed	-
3	1	2	2	0.0021	measured	captured levels	0	witnessed	-
3	1	3	2	0.0	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
3	1	4	2	0.0	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
3	1	5	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
3	1	6	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
3	1	7	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
3	2	0	1	0.0744	measured	captured levels	1	witnessed	-
3	2	1	1	-0.0144	measured	captured levels	0	witnessed	-
3	2	2	1	0.0011	measured	captured levels	0	witnessed	-
3	2	3	1	0.0	measured	captured levels	0	witnessed	-
3	2	4	1	0.0	measured	captured levels	0	witnessed	-
3	2	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
3	2	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
3	2	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
3	2	0	3	0.1814	measured	captured levels	1	witnessed	-
3	2	1	3	0.0539	measured	captured levels	0	witnessed	-
3	2	2	3	0.0027	measured	captured levels	0	witnessed	-
3	2	3	3	0.0006	measured	captured levels	0	witnessed	-
3	2	4	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
3	2	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
3	2	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
3	2	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
3	3	0	2	0.0003	measured	captured levels	0	witnessed	-
3	3	1	2	0.00035	measured	captured levels	0	witnessed	-
3	3	2	2	0.00025	measured	captured levels	0	witnessed	-
3	3	3	2	0.00025	measured	captured levels	0	witnessed	-
3	3	4	2	0.0003	measured	captured levels	0	witnessed	-
3	3	5	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
3	3	6	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
3	3	7	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
4	1	0	1	0.6774	measured	captured levels	2	witnessed	-
4	1	1	1	0.359	measured	captured levels	0	witnessed	-
4	1	2	1	-0.1152	measured	captured levels	0	witnessed	-
4	1	3	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
4	1	4	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
4	1	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	1	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	1	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
