id	verdict	reason
1090	not a defect	L4514 "the pair never enters the table" is exact: ⅅ_ref compares a term against a theorem naming it, and MEASURED at §16.6 L4512-4514 the ⅅ_gro case is defined by no theorem naming the term. The universal is the mechanism's definition, not an overgeneralisation. C9 regex artefact (precedents 678, 680-687, 1067, 1069).
1091	not a defect	L4535 "adjunction never repairs" is the printed name of Theorem 17.1, resolved to the claim at main L4806 where it is stated and proved (READ-ch13p B9). The word "never" is the theorem's own quantifier. Regex artefact.
1092	not a defect	L4544 "eight named and never checked" is a count over the 28 load-bearing terms, one of five categories summing to 28 (MEASURED arithmetic, READ-ch13p §W). "never checked" names a value of the checked coordinate, not a universal claim. Regex artefact.
1093	not a defect	L4563 "can never be two" restates §29.1's ⅅ(novelty) = 0, resolved to the claim at main L7865 ("necessarily and permanently. Not undefended: undefendable"). The universal is carried from the cited section, which asserts it in the same terms. Regex artefact; the primacy claim two lines later is a separate defect (13p-08).
1094	defect	L4616 "run once, on one example, and never named as one" is co-located with 13p-06: the pointer in the same sentence sends the Janet table to §6.2, and MEASURED the table is at main L1581-1585 inside §6.1.1, with "Janet" occurring zero times in §6.2. The row's line carries a misdirected pointer; co-located stale text counts against its census row (chat 70 ruling).
1095	not a defect	L4661 "can never be short of an answer and never give one that contradicts itself" is the stated content of ℛ(Λ) = Λ, which is MEASURED true of Λ₈ (fixed point, r2-ch13p §2). Regex artefact; the row is duplicated as 1096.
1096	not a defect	Duplicate of 1095 — the same line matched twice on two occurrences of the flagged token. Same disposition.
1097	not a defect	L4676 "never believed the lie ... never consulted" is the section's argument, and it is MEASURED sound: Λ refuses the fabricated cell (φ(2S|k=1) admits {0,1}, the cell asks 2) while the rebuilt index admits it. Regex artefact; the duplicate is 1098.
1098	not a defect	Duplicate of 1097 — same line, second occurrence of the token. Same disposition.
1099	defect	L4692 "Insertion is never free" is itself MEASURED true — zero of 5,936 insertions have A = 0 — but the same line carries "a median of 340 more - minimum 59 across 220 trials", and the population gives median 309 and minimum 15 (13p-01). Co-located stale figures count against the row.
1100	not a defect	L4698 "Deletions are always repaired" is MEASURED true without exception: every one of Λ₈'s 976 cells has pushback ≥ 16, so no deletion survives closure (r2-ch13p §6, READ-ch13p B8). The universal is exact.
1101	not a defect	L4702 "repaired, always" is the table form of 1100 and carries the same measurement. Exact.
1102	defect	L4703 "amplifies, always" is MEASURED true (no insertion is free), but the same table cell prints "minimum 59", which the population contradicts at 86 cells and which the section's own Figure 16.2 caption contradicts eleven lines later at 15 (13p-01). This is the second of the two sites that must move together.
1103	not a defect	L4751 "at every cap tested" is the correct hedge, not an overgeneralisation: the claim that the join-prime and meet-prime sets do not intersect is MEASURED at the book's caps (18 and 18, intersection empty) and is explicitly not asserted beyond them. Regex artefact.
