id	pass	number	verdict	confidence	volume	already_docketed	reason	register_entry_marker	correction_label	correction_quote	conversation	conversation_title	msg
PO-0013	claim	(claim, no number)	LIVE-SUPERSEDED	HIGH	The_Method_1_6-2.md	READ-ch10.md (finding 10-04)	"CONFIRMED. The_Method_1_6-2.md L2049 prints ""The correlation is not a coincidence: all seven constraints descend from two origins"" unmarked, while the Mathematical Compendium gives the corrected cause - two decreasing functions of one width variable, Chebyshev's sum inequality, ""positive for this reason and no other"". Already recorded as finding 10-04 in READ-ch10.md."		Constraint correlation comes from shared coordinates, not origin count	"The old §10.2 phrase ""descend from two origins"" was a *wrong/loose explanation* of the correlation — it attributed the correlation to origin-count when the real cause is coordinate-sharing along the tree. So the fix isn't just to reword for consistency; the old explanation was **imprecise**"	182637ad-bb08-42e0-ae6e-58708afa667a	52	262
PO-0015	numeric	602	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6-2.md		"The correction says the seed bit-table properties are refuted at the Lambda-8 cap itself, yet the volume's registers 602-605 passage still prints the withdrawn status ""measured at one cap setting"" with the pairing merely ""not tested"" at other caps."	unmarked	Seed bit-table refuted: 24,585 minimum covers, not 219	"Properties 1–3 are not ""untested at other caps"" — they are refuted at the Λ₈ cap itself. R 602's 219 covers were a biased randomized sample; exact enumeration finds **24,585 minimum covers**, and only corner 3 is common to all of them. The five-cell bit-word table describes the sample, not the object. … The seed itself moved 7→10 at the d-shell, in exact proportion to the recorded size law."	a3cec372-582c-4883-ade4-28ce9ab38686	53	40
PO-0015	numeric	219	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md		The correction withdraws the 219 covers as a biased randomized sample in favour of 24,585 exact minimum covers with only corner 3 common, yet the volume's register 602 still asserts 219 distinct minimum covers with the same four cells in every one (the sampled register-311 snippet is a different, unrelated use of 219).	no-such-entry	Seed bit-table refuted: 24,585 minimum covers, not 219	"Properties 1–3 are not ""untested at other caps"" — they are refuted at the Λ₈ cap itself. R 602's 219 covers were a biased randomized sample; exact enumeration finds **24,585 minimum covers**, and only corner 3 is common to all of them. The five-cell bit-word table describes the sample, not the object. … The seed itself moved 7→10 at the d-shell, in exact proportion to the recorded size law."	a3cec372-582c-4883-ade4-28ce9ab38686	53	40
PO-0019	numeric	2,475	LIVE-SUPERSEDED	HIGH	The_Method_1_6-2.md	number string seen in: DEFERRED.md; READ-ch2-A.md; READ-ch2-B.md; WORKING-REGISTER.md	"The correction records 2,475 as explicitly withdrawn in favour of 15,150/45,450, yet the volume still asserts flatly that ""the tight K has two parents and costs the cylinder 2,475 cells""."	no-such-entry	Two-parent K breakage is 15,150/45,450, 2,475 withdrawn	"**MC-25 correction — use 15,150 / 45,450, not 2,475.** BUILD56 §12.11.5 has *recomputed* the two-parent K breakage to **15,150 @Λ₁₂ / 45,450 @Λ₁₃ (21.4%/22.8%)** and explicitly withdrawn the 2,475. My reconstruction matches the recomputed figures exactly. The OWED-EXPANSIONS-2 row (register 230, ""2,475"") is **stale**; the main text is authoritative."	c6fb39a7-9188-4d8f-bc28-f55895a20064	61	1
PO-0019	numeric	230	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6-2.md		"The correction calls register 230's ""2,475"" row stale, yet the volume still cites ""section A.15 and register 230 record what it costs, 2,475 cells of the cylinder"" as current."	unmarked	Two-parent K breakage is 15,150/45,450, 2,475 withdrawn	"**MC-25 correction — use 15,150 / 45,450, not 2,475.** BUILD56 §12.11.5 has *recomputed* the two-parent K breakage to **15,150 @Λ₁₂ / 45,450 @Λ₁₃ (21.4%/22.8%)** and explicitly withdrawn the 2,475. My reconstruction matches the recomputed figures exactly. The OWED-EXPANSIONS-2 row (register 230, ""2,475"") is **stale**; the main text is authoritative."	c6fb39a7-9188-4d8f-bc28-f55895a20064	61	1
PO-0026	numeric	602	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md		Register 602 still asserts '219 distinct minimum covers; the same four cells appear in every one' and §14.6 still calls the complementary pairing merely 'not tested' at other caps, where the correction refutes both at the Λ₈ cap itself against 24,585 exact minimum covers with only corner 3 common.	unmarked	219 covers were a biased sample; 24,585 minimum covers exist	"Properties 1–3 are not ""untested at other caps"" — they are refuted at the Λ₈ cap itself. R 602's 219 covers were a biased randomized sample; exact enumeration finds **24,585 minimum covers**, and only corner 3 is common to all of them. The five-cell bit-word table describes the sample, not the object."	dd6f1a2a-6406-4938-a9c8-559d5e0036a0	Book-layer work and memory systems	15
PO-0051	numeric	1450	LIVE-SUPERSEDED	HIGH	The_Method_1_6___The_Register-2.md	number string seen in: WORKING-REGISTER.md	Kitagawara appears 0 times in Register or main volume; Belokolos 8 times - the priority misattribution stands and the correcting citation is absent		Kitagawara & Barut 1983 predates Belokolos; R 1450 attribution owed	"**Row 3 — Kitagawara & Barut 1983** (J. Phys. B 16, 3305, ""Period doubling in the n+ℓ filling rule"") predates Belokolos 2017 by 34 years on the period-two structure. R 1450 attributed it to Belokolos; a correction is owed ... **Row 10 — Schwarz 2010** (JCE 87, 444, Fig. 1) ... is the Spectra Compendium's unattributed collapse coordinate; it has an owner."	3421502c-445a-4a4b-98f3-33fb524954de	LCP4	3
PO-0074	numeric	64,290	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md	number string seen in: WORKING-REGISTER.md	"The correction assigns 64,290 to the exact-triangle law build, while register §646 still states ""the tower above Λ₈ runs to 64,290 at Λ₁₃"" — the tower's own Λ₁₃ being 199,130 elsewhere in the same corpus, so the volume prints the exact-triangle figure as the tower's."	no-such-entry	Index of Indices prints the exact-triangle object as the tower	**A1.** The 22,275 / 64,290 rows are the **exact-triangle law build**: 2K stepping by 2 through |2J_c − 2f| ≤ 2K ≤ 2J_c + 2f with the *cell's own f*, then |2J − 2K| ≤ 1. Reproduced to the cell: 22,275 and 64,290 exactly, with the internal identity #{2K = 0} = 2,535 = |Λ₁₀| explaining 64,290 = 3·22,275 − 2,535.	673194db-2dc6-4a59-973d-996aab0d5a1e	Seed law review	9
PO-0080	numeric	2,475	LIVE-SUPERSEDED	HIGH	The_Method_1_6-2.md	number string seen in: DEFERRED.md; READ-ch2-A.md; READ-ch2-B.md; WORKING-REGISTER.md	"The correction withdraws 2,475 as wrong by a factor of six (replaced by 15,150 at Λ₁₂ / 45,450 at Λ₁₃), yet the volume still asserts in prose that ""the tight K has two parents and costs the cylinder 2,475 cells"" even though another passage of the same volume marks 2,475 as withdrawn."	no-such-entry	Tight two-parent K price wrong by a factor of six	**§12.11.5's price for the tight two-parent K was wrong by a factor of six.** It stated 2,475 cells, 3.5% of the product. Recomputed by a disjoint route — counting cells that violate 2K ≤ 2J_c + 2f with the cell's *own* f — the cost is **15,150 at Λ₁₂ and 45,450 at Λ₁₃, 21.4% and 22.8%.**	5f7147b4-49d3-4c64-8846-a2b19510f635	The Method 1.4	333
PO-0081	claim	(claim, no number)	LIVE-SUPERSEDED	HIGH	Transitions.md	adjacent only: DEFERRED.md docket 9(a) touches L11379 for a POINTER fault, not for the rule	"CONFIRMED, and stronger than the adjudicator graded it. The one-sided iff stands unmarked at four live sites - Transitions L202 (SS1.8), main L11379 (App F.4.3 table, A.rule), Index of Indices L2022, Mathematical Compendium L516 - while Register 402 states outright ""THE CLOSURE RULE WAS ONE-SIDED AND THE OPERATOR IS TWO-SIDED ... a band closes at E = 0 where the stated rule refuses it"". No marker within three lines of any of the four."		Closure rule is two-sided, not one-sided monotone	A band is not monotone in either single direction and closes at E = 0. **ℛ decides two-sided intervals, not only staircases.** The corrected statement: *a tightening preserves E = 0 iff each of its binary projections is the intersection of that projection's own two upper envelopes.*	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	9
