# Ba LII (Ba 51+) — NIST ASD 5.12, ref L11297 · B-like, ground 2s2.2p 2P* 1/2
# limit Ba LIII (2s2 1S0) = (80841000) +/- 30000 cm-1
# EVERY VALUE IS PARENTHESISED — theoretical, not measured. Only the ground state
# is unparenthesised, and it is zero by definition.
# NO RYDBERG SERIES: every configuration is a rearrangement within n=2. Nothing
# has n running, so no quantum defect can be computed. Register 682.
config	term	J	level_cm1	theoretical
2s2.2p	2P*	1/2	0	no
2s2.2p	2P*	3/2	3390000	yes
2s.2p2<1/2>	(1/2,0)	1/2	1395600	yes
(2s.2p<1/2>).2p<3/2>	(0,3/2)	3/2	4357900	yes
(2s.2p<1/2>).2p<3/2>	(1,3/2)	5/2	4628600	yes
(2s.2p<1/2>).2p<3/2>	(1,3/2)	1/2	5056000	yes
(2s.2p<1/2>).2p<3/2>	(1,3/2)	3/2	5058500	yes
2p2<1/2>.2p<3/2>	(0,3/2)*	3/2	6546200	yes
2s.2p2<3/2>	(1/2,2)	5/2	7897900	yes
2s.2p2<3/2>	(1/2,2)	3/2	8539300	yes
2s.2p2<3/2>	(1/2,0)	1/2	8525300	yes
2p<1/2>.2p2<3/2>	(1/2,2)*	3/2	9669700	yes
2p<1/2>.2p2<3/2>	(1/2,2)*	5/2	9829900	yes
2p<1/2>.2p2<3/2>	(1/2,0)*	1/2	10155800	yes
2p3<3/2>	(0,3/2)*	3/2	13327200	yes
