id	verdict	reason
1251	not a defect	Read word by word at reg L1469. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...ter 292 had corrected two individual figures for this and never asked how many others there were. The convention is...
1252	not a defect	Read word by word at reg L1473. The flagged "always" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...e from here**. And two things sit outside every index and always will, since §E.1.4 shows the open set cannot expres...
1253	not a defect	Read word by word at reg L1481. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...nflated,* *q* *is ungrounded and one quantity is read and never indexed. No computed figure moves — E(Λ) = 0 reprod...
1254	not a defect	Read word by word at reg L1529. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...ccupied.** *Under exhaustive relabelling E falls to 2 and never to 0, so it is irreducible in §16.7.1's sense and u...
1255	not a defect	Read word by word at reg L1549. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...one of the constraints,* **recovered a bound the book had never stated* **: repair ≤ φ(corroboration).* **No entry ...
1256	not a defect	Read word by word at reg L1585. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...NCE INTEGRITY.** *It found the missing Chapter 30 and has never evaluated E. Separated here.*...
1257	not a defect	Read word by word at reg L1597. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...7.3. The restatement adds what no count could:* **closure never gives that the coordinates refer to anything* **, a...
1258	not a defect	Read word by word at reg L1649. The flagged "at every cap" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...* *Its image on (multipole, ΔS) is the complete rectangle at every cap tested, so E = 0 there is register 333's vacuous ze...
1259	not a defect	Read word by word at reg L1657. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...HREE OBJECTS ARE ONE SHAPE.** *§27.2 proved the first and never said why. [x∧y, x∨y] between cells, [min, max] outp...
1260	not a defect	Read word by word at reg L1741. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...rted the seed rising 14 → 22, incremented by judgement whenever a cycle seemed to add a definition and never once r...
1261	not a defect	Read word by word at reg L1745. The flagged "always" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...onversely, so* **ℛ(X) ⊇ 2-closure(X) and E(ℛ) ≥ E(2-wise) always.**...
1262	not a defect	Read word by word at reg L1753. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...nd not by monotone envelopes, so §12.11.2's refusals were never about arity.* **The pairwise mechanism was the wron...
1263	not a defect	Read word by word at reg L1817. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ... is a CONSTRAINT** *— and §14.5.7 shows a constraint need never be printed, because the seed determines it and a se...
1264	not a defect	Read word by word at reg L1821. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ... triadic, why surviving tests go as (1−f)³, and why ℛ was never the right operator there. The four-body reading is ...
1265	not a defect	Read word by word at reg L1845. The flagged "in every case" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...ormula on shapes invented for it and land within one, low in every case.* **The Carathéodory term is exact and the alphabet...
1266	not a defect	Read word by word at reg L1849. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...act** *at d = 8, 9, 10 — two of them at dimensions it was never fitted to — and then* **16 predicted against 18 mea...
1267	not a defect	Read word by word at reg L1857. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ... add.** *The p = 1 row cannot support a law, its alphabet never exceeding four by construction, and the p = 3 row h...
1268	not a defect	Read word by word at reg L1881. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...r. Register 501's identity — tight pairs = 2S — survives, never having depended on a seed measurement.*...
1269	not a defect	Read word by word at reg L1921. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ... earned — and* **§2.8 *two independent routes* and §2.24 *never one heuristic* share one.** *They should: §2.8 says...
1270	not a defect	Read word by word at reg L1945. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...udgement each time a cycle seemed to add a definition and never recomputed. §14.5.2's own falsifier was the metric,...
1271	not a defect	Read word by word at reg L1973. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ....13 in reverse: I committed to a functional form the book never stated and read the mismatch as the book's.*...
1272	not a defect	Read word by word at reg L1993. The flagged "never" is bounded by its own sentence and is a stated rule, a measured result with its scope, or a fact about a named object — not an unbounded claim about the work. Context: ...31% at the start of this work.* *Cited-and-unverified was never a mathematical gap — it was a search nobody had run...
