# Ge I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Ge+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Ge+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# TWO LIMITS:
#   Ge II (4p 2P*<1/2>)  63713.24
#   Ge II (4p 2P*<3/2>)  65480.60
#
# ** THE DEEPEST SERIES IN THE PROJECT. The 4s2.4p.nd series runs to
#    n = 70 on the lower limit and n = 64 on the upper; ns runs to 43.
#    Nothing else captured comes near — Sc I reached 38, Ge II 11. **
#
# ** AND ALMOST ALL OF IT IS jj-COUPLED: terms read (1/2,1/2)*,
#    (1/2,3/2)*, (1/2,5/2)*, (3/2,1/2)*, (3/2,3/2)*, (3/2,5/2)*,
#    (1/2,7/2)*. Register 1576 refuses these — no single 2S+1. **
#
#    THIS IS THE EIGHTH ORTHOGRAPHY IN THIS FETCH and the first that is
#    PURE jj: a (j_core, j_electron) pair. Racah 2[K] appears too, on the
#    nf series. Ge I therefore carries THREE notations at once — LS at
#    low n, Racah on f, jj above n=6.
#
#    ** THE jj BLOCK IS NOT TRANSCRIBED. It is ~350 rows the index
#       cannot key. Its structure is recorded here so the reading pass
#       knows exactly what is there, and register 1602's jK instrument
#       is what would read it. **
#
# THE LS-KEYABLE BLOCK, transcribed in full below:
#      4s2.4p2      the ground multiplet
#      4s2.4p.5s    4s2.4p.5p    4s2.4p.4d
#      4s2.4p.6p    4s2.4p.5d    4s2.4p.7p
#
# Three rows carry a BARE ASTERISK term (parity only) and one has an
# EMPTY configuration; kept verbatim at the foot.
#
# config	term	J	level_cm1	note
4s2.4p2	3P	0	0.0000	
4s2.4p2	3P	1	557.1341	
4s2.4p2	3P	2	1409.9609	
4s2.4p2	1D	2	7125.2989	
4s2.4p2	1S	0	16367.3332	
4s2.4p.5s	3P*	0	37451.6893	
4s2.4p.5s	3P*	1	37702.3054	
4s2.4p.5s	3P*	2	39117.9021	
4s2.4p.5s	1P*	1	40020.5604	
4s2.4p.5p	3D	1	45985.592	
4s2.4p.5p	3D	2	46834.3798	
4s2.4p.5p	3D	3	48104.1003	
4s2.4p.5p	1P	1	46765.2705	
4s2.4p.5p	3P	0	47502.6257	
4s2.4p.5p	3P	1	48088.3504	
4s2.4p.5p	3P	2	48726.1143	
4s2.4p.5p	3S	1	49075.8917	
4s2.4p.5p	1D	2	49649.5807	
4s2.4p.5p	1S	0	51011.4392	
4s2.4p.4d	1D*	2	48480.048	
4s2.4p.4d	3D*	2	48882.263	
4s2.4p.4d	3D*	1	48962.783	
4s2.4p.4d	3D*	3	49144.397	
4s2.4p.4d	3F*	2	50068.954	
4s2.4p.4d	3F*	3	50323.465	
4s2.4p.4d	3F*	4	50786.79	
4s2.4p.4d	3P*	2	51437.802	
4s2.4p.4d	3P*	1	51705.020	
4s2.4p.4d	3P*	0	51978.15	
4s2.4p.4d	1F*	3	52592.224	
4s2.4p.4d	1P*	1	52847.215	
4s2.4p.6p	3D	1	54935.8479	
4s2.4p.6p	3D	2	55266.0902	
4s2.4p.6p	3D	3	56793.460	
4s2.4p.6p	1P	1	55235.8344	
4s2.4p.6p	3P	0	55503.2026	
4s2.4p.6p	3P	1	56687.1584	
4s2.4p.6p	3P	2	56947.7693	
4s2.4p.6p	3S	1	57083.2021	
4s2.4p.6p	1D	2	57250.9427	
4s2.4p.6p	1S	0	57670.326	
4s2.4p.5d	3D*	2	55372.610	
4s2.4p.5d	3D*	1	55474.668	
4s2.4p.5d	3D*	3	55718.604	
4s2.4p.5d	3F*	2	55686.70	
4s2.4p.5d	3F*	3	56828.439	
4s2.4p.5d	3F*	4	57556.206	
4s2.4p.5d	3P*	1	57398.852	
4s2.4p.5d	3P*	2	57430.924	
4s2.4p.5d	3P*	0	57828.98	
4s2.4p.5d	1P*	1	58058.060	
4s2.4p.5d	1F*	3	58093.352	
4s2.4p.7p	3D	1	58414.660	
4s2.4p.7p	3D	2	58586.8822	
4s2.4p.7p	3D	3	60218.379	
4s2.4p.7p	1P	1	58560.827	
4s2.4p.7p	3P	0	58733.515	
4s2.4p.7p	3P	1	60187.58	
4s2.4p.7p	3P	2	60320.616	
4s2.4p.7p	3S	1	60354.624	
4s2.4p.7p	1D	2	60456.466	
4s2.4p.7p	1S	0	60673.064	
4s2.4p.8p	1P	1	60273.738	
4s.4p3	5S*	2	41926.726	two-outside
# --- BARE ASTERISK TERM: parity only, no L, no S. R 1576 refuses.
4s2.4p.5d	*	2	56921.345	malformed
4s2.4p.5d	*	2	58551.407	malformed
4s2.4p.5d	*	3	58943.436	malformed
	*	1	59727.511	malformed
