# Sn I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Sn+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Sn+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# TWO LIMITS:
#   Sn II (5s2.5p 2P*<1/2>)  59232.69
#   Sn II (5s2.5p 2P*<3/2>)  63484.18
#
# 5s2.5p2 ground. Nearly all LS — ONE jj row only, 5s2.5p.(2P*<1/2>).5g
# at 54830.196.
#
# ** THE nd SERIES SPLITS ACROSS THE TWO LIMITS AND NIST MARKS THE SPLIT
#    WITH a/b LETTERS ON THE SAME TERM: "a 3P*" and "b 3P*", "a 3F*"
#    and "b 3F*", "a 3D*" and "b 3D*". The a-members sit below 59232
#    and the b-members above it. The letter is doing the job of the
#    LIMIT ASSIGNMENT, not of term disambiguation. **
#
#    ** THAT IS A NINTH USE OF THE LETTER PREFIX AND THE ONLY ONE WHERE
#       IT ENCODES WHICH PARENT THE SERIES CONVERGES ON. Recorded. **
#
# The nd series runs n = 5..27 and the ns to n = 19; both cross the
# first limit and continue to the second.
#
# ENERGY-LABELLED TERMS AGAIN, as in Hf I: "57935*", "58324*", "58594*",
# "58679*", "58748*", "58963*", "58983*", "59189*" — each the level's
# own value. Eight rows, empty configuration.
# Four rows carry a query on the level; one 1F* at 58862.17 marked "?".
#
# config	term	J	level_cm1	note
5s2.5p2	3P	0	0.000	
5s2.5p2	3P	1	1691.806	
5s2.5p2	3P	2	3427.673	
5s2.5p2	1D	2	8612.955	
5s2.5p2	1S	0	17162.499	
5s2.5p.6s	3P*	0	34640.758	
5s2.5p.6s	3P*	1	34914.282	
5s2.5p.6s	3P*	2	38628.876	
5s2.5p.6s	1P*	1	39257.053	
5s2.5p.7s	3P*	0	48216.356	
5s2.5p.7s	3P*	1	48222.159	
5s2.5p.7s	3P*	2	52415.877	
5s2.5p.7s	1P*	1	52706.832	
5s2.5p.8s	3P*	0	52919.767	
5s2.5p.8s	3P*	1	53020.952	
5s2.5p.8s	3P*	2	57150.177	
5s2.5p.8s	1P*	1	57283.653	
5s2.5p.9s	3P*	0	55131.530	
5s2.5p.9s	3P*	1	55156.731	
5s2.5p.9s	3P*	2	59374.2	
5s2.5p.9s	1P*	1	59427	
5s2.5p.10s	3P*	0	56358.901	
5s2.5p.10s	3P*	1	56390.113	
5s2.5p.10s	3P*	2	60598.8	
5s2.5p.10s	1P*	1	60646.1	
5s2.5p.11s	3P*	0	57103.95	
5s2.5p.11s	3P*	1	57106.96	
5s2.5p.11s	3P*	2	61351.0	
5s2.5p.11s	1P*	1	61365	
5s2.5p.12s	1P*	1	61859.5	
5s2.5p.13s	1P*	1	62186	
5s2.5p.14s	1P*	1	62431.0	
5s2.5p.15s	1P*	1	62609.4	
5s2.5p.16s	1P*	1	62745.9	
5s2.5p.17s	3P*	1	58607.88	
5s2.5p.17s	1P*	1	62852.6	
5s2.5p.18s	3P*	1	58690.05	
5s2.5p.19s	3P*	1	58758.38	
5s2.5p.6p	3D	1	42342.216	
5s2.5p.6p	3D	2	43430.135	
5s2.5p.6p	3D	3	47006.830	
5s2.5p.6p	3P	1	43368.634	
5s2.5p.6p	3P	0	43799.085	
5s2.5p.6p	3P	2	47235.221	
5s2.5p.6p	1P	1	46603.517	
5s2.5p.6p	3S	1	47805.840	
5s2.5p.6p	1D	2	48189.791	
5s2.5p.6p	1S	0	49406.162	
5s2.5p.7p	3D	1	50756.212	
5s2.5p.7p	3D	2	51170.993	
5s2.5p.7p	3D	3	55140.472	
5s2.5p.7p	3P	1	51113.059	
5s2.5p.7p	3P	0	51375.332	
5s2.5p.7p	3P	2	55187.151	
5s2.5p.7p	1P	1	54990.431	
