id	category	label	quote	conversation	conversation_title	msg	identifiers	why	confidence
PO-0001	CORRECTION	16x-01 is not a defect; DEF-126 item 1 must not run	**One disposition of a chat-126 finding.** 16x-01 is not a defect as stated: register 1306 records Lr = [Rn]5f¹⁴7s²7p, a 7p opening at Z = 103 inside the 108. The complete-filling derivation behind Z = 113 also puts 4f at 67 against the printed 58. DEF-126 item 1's repair must not be executed.	b3d4a5dc-5e63-441c-88e0-64adc0858c53	127	3	16x-01; DEF-126; 1306	A queued repair would be executed against a correct volume if this disposition were lost.	HIGH
PO-0002	CORRECTION	No 14D index exists; the framing was conversational only	"**there is no Λ₁₄ built or defined in this project, and no ""14-dimensional index"" as a closed object.** ... **A named ""14th dimension,"" a Λ₁₄ object, a closed 14D index containing time and space, and any connection to a paper titled ""On the Matter of Time Travel""**: **not found in any file, register entry, or compendium in this project.** ... it lived **only in conversation**"	8337f2ad-4a23-4178-a546-6f09824d7451	14-dimensional lattice framing and provenance	1	register 333; register 334; register 335; register 348; register 350; §32.6.1; REGISTER-2_13.txt	Settles the provenance of a framing about to be absorbed into The Method 1.6 as if it were written content, and names the register entries that are the real grounding.	HIGH
PO-0003	CORRECTION	IOI-09: ceiling corrected from 98.6% to 98.9%	Ceiling = (1,312−14)/1,312 = **98.93%**. And 98.6% is exactly (1,312−**18**)/1,312 — 18 being the count of the *P I / Cd I / Ti II* group, the kind that **is** fixable. The printed ceiling was computed off the wrong one of the three kinds.	1508e9be-eca9-460d-8aae-71676de0ed40	25	3	IOI-09; R984; R983; R981; register 1771	Gives the diagnosis and the three-kind breakdown (Ar I 1, trio 18, Sc I/Ti I 14 = 33) that R984 holds and the printed prose fused.	HIGH
PO-0004	CORRECTION	W-025's count of the seven-term sequence is three, prints four	And **a correction to the record, not to the books:** W-025 states the Löwdin paper prints the seven-term sequence three times. It prints it four — L13, L21, L47, L110. All four are correct and all four stand; only the count in the working register was wrong.	97d21461-4375-4386-a9f7-f177ef2d17e2	29	3	W-025; L13; L21; L47; L110	Corrects a seated working-register count with the four exact line sites.	HIGH
PO-0005	CORRECTION	95-164 are not superseded elemental-lattice entries	"**The 95–164 stretch is NOT elemental-lattice genesis** — it is Λ₈ (Lach Cylinder) successor material, whose entry text is **unretrievable** (survives only in an unreachable 1,790-turn transcript). The NOTE explicitly states rendering them as entries ""would require reconstructing text from summaries — **fabrication, which this project's discipline forbids**."""	182637ad-bb08-42e0-ae6e-58708afa667a	52	7	95-164; W-089; Ruling 66; NOTE-to-book-project.md	Corrects W-089's premise that each of 95-164 has a distinct superseding entry; a future worker would otherwise fabricate 70 pointers.	HIGH
PO-0006	CORRECTION	Entry 681 rewritten to name the channel not channels.py	"- **Current:** ""*`channels.py` now carries a limit only where one was published, and a species with no published limit yields no channels however many levels it has.*"" - **Proposed:** ""*A channel now carries a limit only where one was published, and a species with no published limit yields no channels however many levels it has.*"""	182637ad-bb08-42e0-ae6e-58708afa667a	52	45	681; channels.py	The exact approved wording of a Register entry edit; the before/after is not recoverable from the pressed text alone.	HIGH
PO-0007	CORRECTION	Time arrow is frame-dependent, not a contradiction	1.6's §6.2 says (reader-facing, in the chapter that's about to become new Chapter 4 + The paper's §11 says the exact opposite conclusion Both are true, but your interpretation is incorrect. You are forgetting observation...	182637ad-bb08-42e0-ae6e-58708afa667a	52	198	§6.2; §11; 31.6%	Without this ruling a future worker would 'correct §6.2 down' and delete a true reading, instead of holding both frames with observation selecting between them.	HIGH
PO-0008	CORRECTION	Seed bit-table refuted: 24,585 minimum covers, not 219	"Properties 1–3 are not ""untested at other caps"" — they are refuted at the Λ₈ cap itself. R 602's 219 covers were a biased randomized sample; exact enumeration finds **24,585 minimum covers**, and only corner 3 is common to all of them. The five-cell bit-word table describes the sample, not the object. … The seed itself moved 7→10 at the d-shell, in exact proportion to the recorded size law."	a3cec372-582c-4883-ade4-28ce9ab38686	53	40	R 602; R 603; R 604; R 605; §14.5.14; MC-54	Refutes a published-in-the-book structural claim at its own cap and gives the corrected count; the sampled figure would otherwise stand.	HIGH
PO-0009	CORRECTION	origin=horizon joins the empty index, not the seed of Lambda	origin=horizon, as recorded, connects **∅ to the horizon** — ∅ is the unique index that is its own seed, zero bits, closed and complete — **not the seed of Λ to the horizon.** So the seductive bridge (minimum-seed = origin, 14D = horizon) is precisely the false one.	a3cec372-582c-4883-ade4-28ce9ab38686	53	49	P4; register 333; §32.1.4	Names the specific false bridge the framework invites and states the licensed form instead; a guard that must survive into later 14D-adjacent chapters.	HIGH
PO-0010	CORRECTION	The binary thesis corrected: bracket, not bit	your single at-either-extreme bit is *not closure-lawful* (non-monotone, image E=1 — it breaks the very property the proof lives in), but its two one-sided halves (at-top, at-bottom) are each lawful homomorphisms (both E=0). The connection's native language turned out to be **the bracket — the book's own house currency — not the bit.**	a3cec372-582c-4883-ade4-28ce9ab38686	53	55	MC-55; T2; P4	"Settles the author's binary-form expectation with a measured verdict: one bit is unlawful, two threshold bits are lawful — a distinction that would be lost as ""binary works""."	HIGH
PO-0011	CORRECTION	dim(Lambda-8) is 7, not 8	The book asserts dim(Λ₈) = 8 via Dilworth from the width of J(Λ) — and flags it (register 409) as *asserted, never derived*. The derivation now exists, both directions: an explicit **7-element antichain** in J(Λ), and a **partition of J(Λ) into 7 chains**. Width = 7, so by the book's own cited theorem, **dim(Λ₈) = 7.**	8c611d46-109d-401f-a272-5f28f0d0f7fd	55	11	MC-06; register 409; §8.6; main:1945; L.dim	The headline order-dimension of the central object was refuted with both certificates; without the record a later reader re-asserts the false 8.	HIGH
PO-0012	CORRECTION	Two-parent K breakage is 15,150/45,450, 2,475 withdrawn	"**MC-25 correction — use 15,150 / 45,450, not 2,475.** BUILD56 §12.11.5 has *recomputed* the two-parent K breakage to **15,150 @Λ₁₂ / 45,450 @Λ₁₃ (21.4%/22.8%)** and explicitly withdrawn the 2,475. My reconstruction matches the recomputed figures exactly. The OWED-EXPANSIONS-2 row (register 230, ""2,475"") is **stale**; the main text is authoritative."	c6fb39a7-9188-4d8f-bc28-f55895a20064	61	1	MC-25; register 230; §12.11.5; OWED-EXPANSIONS-2; BUILD56	A stale figure still sits in a live row-definition file; anyone rebuilding from OWED-EXPANSIONS-2 will reintroduce the withdrawn 2,475.	HIGH
PO-0013	CORRECTION	'ratio below 1 marks a measurement' is false	"**""ratio < 1 marks a measurement""** — **false.** I tested it: a non-constant relabel has ratio 1/V < 1 too. The measurement/relabel line is drawn by the *door* (independence), not by the fill arithmetic. Any entry must not claim ratio distinguishes them."	c6fb39a7-9188-4d8f-bc28-f55895a20064	61	55	MC-33	A tempting false claim explicitly tested and rejected; without the record it will creep back into any restatement of the fill-limit argument.	HIGH
PO-0014	CORRECTION	Parity rule is imposed on Λ₉ not Λ₈; 840/E=750 vs 504/E=456	That resolves discrepancy 2 cleanly. **The parity rule is imposed on Λ₉, not Λ₈** — `|Δℓ|=1` on Λ₉ gives exactly **840 cells**, matching the source. My instrument had it on Λ₈ (504). ... **Parity imposition confirmed: 840 cells, E=750** on Λ₉ — exact match.	2f6e0568-b5bc-4709-8eca-7c64aeea87bb	62	13	MC-36	A re-verification on the wrong stage reproduces 504/E=456 and reads as a defect in the record.	HIGH
PO-0015	CORRECTION	EM image table folds ΔS by absolute value, not signed	The source is folding ΔS by **absolute value** — ΔS=1 column = |ΔS|=1 = my (−1)+(+1) = 240+102 = **342** ✓; ΔS=2 = 156+24 = **180** ✓; ΔS=3 = 54+0 = **54** ✓. And M1: 232+105 = **337** ✓ ... My 13-cell/E=1 result came from using *signed* ΔS (which is not a clean rectangle because E1 has no +3).	2f6e0568-b5bc-4709-8eca-7c64aeea87bb	62	13	MC-36; EM.image	The 'complete 2×4 rectangle, E=0' claim holds only under |ΔS|; a signed reading gives 13 cells and E=1.	HIGH
PO-0016	CORRECTION	MC-33 needs no revision; the working-record REVISION flag is stale	"**The reconciliation finding: MC-33 requires no revision — the BUILD62 seated text already carries the full arc; the working-record ""needs REVISION"" note is superseded and stale.** Per the no-silent-change discipline I'm recording that as a finding, not editing anything."	2f6e0568-b5bc-4709-8eca-7c64aeea87bb	62	13	MC-33; BUILD62	An open flag would otherwise send a future session to re-author an entry that is already correct.	HIGH
PO-0017	CORRECTION	The coupling algebra is exact; only the vector-model cartoon is non-rigorous	The vector *model* — literally drawing **l** and **s** as classical arrows precessing on cones — is the non-rigorous thing the source flagged. ... **The actual physics — angular momentum coupling, ΔS selection rules, jK/LS/jj schemes, |2J−2K|≤1 — is exact quantum mechanics.** ... Nothing we've built is wrong. I conflated a rigorous algebra with its non-rigorous cartoon	2f6e0568-b5bc-4709-8eca-7c64aeea87bb	62	99	PC-03	Withdraws an alarm that the project's physics foundations were unsound, and states precisely where the non-rigour lies.	HIGH
PO-0018	CORRECTION	W-135 and DEF-96 both state fifteen headings; measured thirteen	W-135 and DEF-96 both describe the remaining Chapter 23 read as *189 lines, fifteen headings*. Re-measured after they were sealed: **189 lines, thirteen headings**. Both members are append-only and already built, so HANDOFF-49 carries the correction and chat 97's W-136 records it citing W-135.	8e854e1e-3792-46a2-9163-1ea1661d4ffe	96	3	W-135; DEF-96; W-136; HANDOFF-49	A sealed append-only member carries a wrong count; the correction lives only in the chat unless recorded.	HIGH
PO-0019	CORRECTION	477 rows is not stale — it is a different real basis	**477 is not stale — it is a different, real basis.** Rows with three or more levels number exactly 477; the other 119 are two-member channels. 477 + 119 = 596. My earlier framing was the error, not chat 98's figure.	c8759945-d887-4a31-9ddd-a83e85634018	99	3	477; 596; HANDOFF-51; W-138	Withdraws a 'stale figure' verdict and defines the two bases; without it the compendium's own totals get mis-read again.	HIGH
PO-0020	CORRECTION	§6.4 failure mechanisms reassigned; the obstruction is ℓ, not k	There is no missing third mechanism. ... `2J_c ≤ k − q` — ceiling decreasing in *q*. On that block alone: 2,640 join failures, **zero** meet. - `m ≥ max(0, k − (2ℓ+1))` — floor decreasing in ℓ. On that block alone: **zero** join, 98 meet failures. And the floor's operative variable isn't *k*. Freeze the ℓ-term at max(0, *k* − 7) and the lattice is perfectly closed	d3b8e354-e969-4359-9db9-3f1952c56248	Cold fusion and electronic configuration indexing	19	§6.4; Prop 2.1	Corrects a published diagnosis and explains why the paper's own isolation test passed — it held fixed the one coordinate carrying the obstruction.	HIGH
PO-0021	CORRECTION	Single-coordinate theorem false for sublattices of products of chains	**Settled negatively.** The single-coordinate theorem is false for sublattices of products of chains, so it is false for Λ₈. ... The old proof dies at `m_v + e_i ∈ L`, which needs interval-closure that a sublattice doesn't supply. ... Of 19,573 non-monotone functions, zero have a closed graph — closure forces monotonicity.	d3b8e354-e969-4359-9db9-3f1952c56248	Cold fusion and electronic configuration indexing	21	Theorem 4.1; Lemma 4.1; Lemma 4.2; Corollary 4.3; Λ₈	Falsifies a headline theorem, names exactly where its proof fails, and shows which corollary survives — none of it reconstructible from the paper.	HIGH
PO-0022	CORRECTION	Gap 1 and Gap 2 were falsely announced as closed	"I also need to correct something I said earlier rather than let it stand. I told you Gap 1 and Gap 2 were ""closed."" They were not. In the Gap 1 derivation I asserted H_int = γ·Q̂⊗Q̂ as ""the only geometrically natural"" coupling — that was my choice, not a derivation ... In Gap 2 I said f(ℓ,k) = (k/k_max)^(ℓ/4) was ""the unique expression"" satisfying the constraints; it is not unique ... and I picked the one that reproduced the H_cp we had already written down. That is circular."	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	49	Gap 1; Gap 2; H_int; H_cp	Withdraws two derivations that were announced as complete; without this retraction the H_cp formula reads as parameter-free when it was fitted to a pre-written answer.	HIGH
PO-0023	CORRECTION	Closure criterion wrong; obstruction is orientation reversal, and result is textbook	"**My criterion was wrong.** It scored 5/8 against structures with known answers. ... **The corrected criterion scores 8/8.** Closure holds when every constraint, after collecting terms on one side, is monotone non-decreasing in each coordinate it involves and contains no negated coordinate. ... The real obstruction is **orientation reversal**, not varying floors. ... So the honest framing is not ""here is a theorem"" but ""Λ satisfies a standard sublattice condition"" ... That's textbook order theory — Birkhoff, essentially."	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	87	§12; Birkhoff	"Withdraws a claimed theorem and replaces both its statement and its novelty status; the earlier ""varying floors"" diagnosis is wrong and must not be requoted."	HIGH
PO-0024	CORRECTION	Actinides do not reach 5g under excitation; §2.4 claim withdrawn	"Your 2026 paper's §2.4 claimed that actinides with 5f ground states ""reach into the otherwise-vacant g-subshell layer under excitation."" That claim doesn't survive checking. The lattice *permits* (5,4,k) — ℓ=4 satisfies ℓ ≤ n−1 — but permission isn't occupancy. ... Pyykkö places 5g filling near Z ≈ 121–125. The original claim conflated admissibility with accessibility."	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	139	§2.4; 5g; Pyykkö	Withdraws a claim in the author's prior published paper and supplies the distinction (admissibility vs accessibility) that replaces it.	HIGH
PO-0025	CORRECTION	Rydberg excitation separates downward closure from saturation	Rydberg excitation breaks the collapse: a singly-excited atom reaches (5,4,1), (6,3,1), (6,4,1), (7,2,1), (7,3,1), (7,4,1) — precisely the six empty columns §13 identified as the frontier. The union is 124 cells, **still an order ideal**, but **no longer all-or-nothing** (six columns at height 1). ... the all-or-nothing property is specifically a fact about *ground states*, not about atoms.	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	141	§13	Qualifies the all-or-nothing claim precisely, and names the six cells that break it.	HIGH
PO-0026	CORRECTION	Accumulation argument wrong; measured configs break the order ideal	Your instinct was right to stop here. The accumulation argument was **wrong**, and testing it properly overturned three headline results. ... Recomputing from strictly measured configurations: | Distinct cells | 118 | **110** | | Order ideal | yes | **NO — 172 violations, 7 holes** | | Columns fully filled | 19 / 6 / 0 partial | **4 partial** | | Maximal cells | 3 | **4** | | Z a linear extension | 0 violations | **9 violations** | | Admissible ℓ-orderings | 1 of 120 | **0 of 120** |	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	171	§13; §14; §16; §19; §12.3	Every structural result about the occupied set is convention-dependent; a future worker quoting 118 cells or the order-ideal property without the convention would be quoting a claim that fails under measured configurations.	HIGH
PO-0027	CORRECTION	Magic-number test withdrawn as unpowerable in principle	Not corrected — **withdrawn**. n = 6, effect size d = −1.01, p = 0.056. The power at that effect size is **0.51** — a coin flip. Reaching 80% power would need ten magic numbers, 95% would need fifteen, and **six exist below Z = 118**. The population *is* six. So the test isn't underpowered on this occasion; it's **incapable of adequate power in principle**.	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	197	§18.3	The only claim removed on statistical rather than substantive grounds, with the reason it can never be rescued by more data.	HIGH
PO-0028	CORRECTION	Frontier significance restated from 1-in-5000 to 0.083	"I reported the frontier result at ""one in five thousand."" That used the wrong null — it treated columns Pyykkö never fills as equally likely candidates. The **stronger test holds the seven columns fixed and randomises only their order**: of 5,040 orderings, **420 satisfy the lattice condition and 4,620 do not**, so the probability of passing by chance is **0.083**, not 0.0002."	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	223	§16.2	Without this a future worker would quote a figure the author explicitly withdrew as overstated.	HIGH
PO-0029	CORRECTION	Darmstadtium plus-ten prediction refuted	**Darmstadtium's first ionisation energy is 9.77 eV against platinum's 8.96 — higher, not lower.** Relativistic stabilisation of the 7s orbital binds the valence electrons *more* tightly, and Ds's calculated covalent radius of 128 pm is *smaller* than Pt's 139 pm. Every indicator runs against the prediction. ... **No new synthesis or calculation was needed — the refuting data already existed.**	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	251	Ds(+10); k_last = n+2	A forward prediction made and refuted, with its diagnosis — the n+2 pattern was never a lattice property.	HIGH
PO-0030	CORRECTION	Spin-projection fourth axis withdrawn on parity	The 6-cube base (2, 0, 1, 0, 0, 3) reads as a **2s¹ configuration with total spin zero** — impossible, since one electron has S = ½. I had omitted the physical constraint that **2S must have the same parity as k**. Imposing it gives **52,173 join and meet failures**. So the spin axis divides exactly as the neutron axis did ... **Three admissible axes, not four.**	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	259	Λ_S; §9.5	A published six-dimensional claim was retracted for a stated physical reason; without the record a future worker would rebuild the impossible axis.	HIGH
PO-0031	CORRECTION	Seven mechanisms for c all refuted	| Slater screening | r = 0.376, p = 0.25 | | ionic-charge picture | rise is 1.16, not 1.00, and n-dependent | | n-independence | holds in p-block, fails in d-block | | pairing past half-filling | p = 0.22 | | kainosymmetry × occupancy | p = 0.42, p = 0.52 | ... **c ≈ 1.5 + k/3 in the p-block, tightly, and we do not know why.**	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	355	c ≈ 1.505 + 0.309k	Records seven dead ends so they are not re-proposed, and the one durable empirical statement that survived them.	HIGH
PO-0032	CORRECTION	Quantum defects measured at g=1 applied at g=k	**Every quantum defect I used came from a Rydberg series, where one electron sits alone in the target — g = 1. Every ground state I applied it to has g = k.** I was using a g = 1 parameter at g = 2 and calling the discrepancy a failure of the count. ... The alkaline earths — Mg 0.136, Ca 0.168, Sr 0.184, Ba 0.174 — sit at **+0.166 with a scatter of 0.018**.	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	421	Λ₇; g axis	A category error that had been attributed to a failure of the count rule; its correction is what earns the g axis its place.	HIGH
PO-0033	CORRECTION	Shell-transfer breakdown was contamination, not physics	The shell-transfer question is now answered, and the answer is that **there is no discontinuity** — the earlier breakdown was two contaminated series. ... The negative slope and the collapse to R² = 0.125 were entirely K-like and Ca-like, whose configuration switches into the empty 3d as the charge rises ... The pattern I named as the single most important open question was largely an artefact	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	467	K-like; Ca-like; 1/β	Withdraws what had been declared the project's most important open question, naming the two contaminating series.	HIGH
PO-0034	CORRECTION	"41 ""unresolved"" figures are in restore-point-2_13, not lost"	"**The 41 ""unresolved"" figures are not lost — they are in `restore-point-2_13.tar.gz`.** ... `figures/fig00.png` … `fig27.png` (28 files) — the main volume's embedded figures, which the book's captions 6.1–30.2 and D.1 refer to by number, not by path. That is why the other project reads ""captions present, no image link"": the press resolved them by position, not by link."	c858870e-769c-4ded-8aba-3c89b230cafd	Domain fibre constraints and E(Q) computation	5	restore-point-2_13.tar.gz; fig00.png; 6.1–30.2; D.1	"Corrects a standing ""no asset anywhere"" verdict on 41 figures and names the mechanism (positional resolution) that caused the false absence."	HIGH
PO-0035	CORRECTION	The 0.008 Ha gap is orbital relaxation, not two correlation forms	**But that's not what the 0.008 was.** Two predictions failed (PQ1, PQ2), timing-flagged. On frozen orbitals the integer form is 0.0287 (Y), not hfc2's 0.0202. The 0.0085 is first-order orbital relaxation of E_c^SIC: HF orbitals are stationary for E_HF (so E_HF barely moves — that's what HFC2 saw) but not for E_c, so E_c moves at first order when the orbitals relax. Two evaluations of one function on two argument sets, not two forms.	889ee262-750c-4d4c-9acc-4e7add47b5be	LCP26	13	PQ1; PQ2; hfc2; E_c^SIC	Reclassifies the headline 0.008 Ha discrepancy from a convention choice to a physical relaxation term, which changes what must be proved.	HIGH
