# Tl I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Tl+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Tl+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Tl II (6s2 1S<0>)  49266.66 cm-1
#
# 6s2.6p ground — one electron outside a closed 6s2, every level a
# DOUBLET, one parent. The n=6 shell member of the one-outside family:
#   n=2 B I · n=3 V V et al · n=4 Ge II et al · n=5 Cs I · n=6 Tl I
#
#      s   n =  7..20      p   n =  6..16
#      d   n =  6..23      f   n =  5..8
#
# ** THE UNRESOLVED-J NOTATION TAKES OVER PROGRESSIVELY, and the
#    boundary is sharp per channel — which no earlier species showed
#    this cleanly: **
#      f  : "5/2,7/2" from the FIRST member (n=5) onward — never resolved
#      p  : resolved to n=12, then "1/2,3/2" from n=13 up
#      d  : resolved to n=11, then "3/2,5/2" from n=12 up
#      s  : always single (2S has one J) — no transition possible
#
#    ** THE FINE STRUCTURE COLLAPSES BELOW MEASUREMENT AT A DEFINITE n,
#       AND THAT n DIFFERS BY CHANNEL: f immediately, d at 12, p at 13.
#       Recorded, NOT interpreted — this is a statement about what was
#       resolvable, and R 1578's witness axis is what keeps that apart
#       from a statement about the atom. **
#
# Two rows have a BLANK level (6s.6p2 2D 5/2 and 2P 3/2). Two carry
# bare numeric-parity terms "2*" and "3*", one with no J at all.
#
# config	term	J	level_cm1	note
6s2.6p	2P*	1/2	0.0	
6s2.6p	2P*	3/2	7792.7	
6s2.7s	2S	1/2	26477.5	
6s2.8s	2S	1/2	38745.9	
6s2.9s	2S	1/2	43166.2	
6s2.10s	2S	1/2	45296.8	
6s2.11s	2S	1/2	46456.9	
6s2.12s	2S	1/2	47178.9	
6s2.13s	2S	1/2	47654.7	
6s2.14s	2S	1/2	47983.2	
6s2.15s	2S	1/2	48223.2	
6s2.16s	2S	1/2	48399.5	
6s2.17s	2S	1/2	48534.8	
6s2.18s	2S	1/2	48639.0	
6s2.19s	2S	1/2	48726.2	
6s2.20s	2S	1/2	48796.2	
6s2.7p	2P*	1/2	34159.9	
6s2.7p	2P*	3/2	35161.1	
6s2.8p	2P*	1/2	41368.1	
6s2.8p	2P*	3/2	41740.8	
6s2.9p	2P*	1/2	44380.9	
6s2.9p	2P*	3/2	44562.5	
6s2.10p	2P*	1/2	45939.3	
6s2.10p	2P*	3/2	46043.6	
6s2.11p	2P*	1/2	46853.8	
6s2.11p	2P*	3/2	46917.1	
6s2.12p	2P*	1/2	47442.6	
6s2.12p	2P*	3/2	47477.4	
6s2.6d	2D	3/2	36117.9	
6s2.6d	2D	5/2	36199.9	
6s2.7d	2D	3/2	42011.4	
6s2.7d	2D	5/2	42049.0	
6s2.8d	2D	3/2	44672.6	
6s2.8d	2D	5/2	44692.7	
6s2.9d	2D	3/2	46098.5	
6s2.9d	2D	5/2	46110.3	
6s2.10d	2D	3/2	46949.9	
6s2.10d	2D	5/2	46958.0	
6s2.11d	2D	3/2	47499.8	
6s2.11d	2D	5/2	47504.1	
# --- UNRESOLVED J from here in each channel
6s2.13p	2P*	1/2,3/2	47847.7	unresolved-J
6s2.14p	2P*	1/2,3/2	48129.6	unresolved-J
6s2.15p	2P*	1/2,3/2	48331.2	unresolved-J
6s2.16p	2P*	1/2,3/2	48459.5	unresolved-J
6s2.12d	2D	3/2,5/2	47876.0	unresolved-J
6s2.13d	2D	3/2,5/2	48142.3	unresolved-J
6s2.14d	2D	3/2,5/2	48339.3	unresolved-J
6s2.15d	2D	3/2,5/2	48488.6	unresolved-J
6s2.16d	2D	3/2,5/2	48604.0	unresolved-J
6s2.17d	2D	3/2,5/2	48696.5	unresolved-J
6s2.18d	2D	3/2,5/2	48770.5	unresolved-J
6s2.19d	2D	3/2,5/2	48828.6	unresolved-J
6s2.20d	2D	3/2,5/2	48878.2	unresolved-J
6s2.21d	2D	3/2,5/2	48920.6	unresolved-J
6s2.22d	2D	3/2,5/2	48957.7	unresolved-J
6s2.23d	2D	3/2,5/2	48988.8	unresolved-J
6s2.5f	2F*	5/2,7/2	42318.4	unresolved-J
6s2.6f	2F*	5/2,7/2	44823.5	unresolved-J
6s2.7f	2F*	5/2,7/2	46185.3	unresolved-J
6s2.8f	2F*	5/2,7/2	47004.6	unresolved-J
# --- TWO electrons outside. R 1597 keyability: refused.
6s.6p2	4P	1/2	45220	two-outside
6s.6p2	4P	3/2	49800	two-outside
6s.6p2	4P	5/2	53050	two-outside
6s.6p2	2D	3/2	62000	two-outside
6s.6p2	2P	1/2	67150	two-outside
# --- BARE NUMERIC-PARITY TERMS
6s.6p.(3P*).7s	2*		75970	no-J, numeric-term
	3*	3/2	96740	no-config, numeric-term
