id	class	member	line	item	detail
1	C3-FIGURE-POINTER-UNPLACED	main	7589	Figure 15.3	impossible and was the signal. The earlier version's Figure 15.3, since withdrawn, drew a line labelled
2	C2-THEOREM-POINTER-UNPRINTED	main	10654	Theorem 7.1	Theorem 7.1 is absent — withdrawn, and the status coordinate's *withdrawn* value is
3	C5-REGISTER-POINTER-UNRESOLVED	reg	10	entry 1725	**Every entry has one form: a capitalised headline, then the body in italics** (entry 1725 records how the form was reached).
4	C2-THEOREM-POINTER-UNPRINTED	reg	1635	Theorem 11.2	**THE THREE INTERVALS ARE ONE SHAPE.** *[x∧y, x∨y] between cells, [min, max] output rank between states, [T(n−1), T(n+1)] between measurements — three objects the book computes separately, whose measu
5	C2-THEOREM-POINTER-UNPRINTED	reg	1663	Theorem 11.2	**THE THREE MEASURES ARE ONE QUANTITY BECAUSE THE THREE OBJECTS ARE ONE SHAPE.** *§27.2 proved the first and never said why. [x∧y, x∨y] between cells, [min, max] output rank between states, [T(n−1), T
6	C2-THEOREM-POINTER-UNPRINTED	reg	2395	Theorem 12.1	**AND ITS FIFTH SECTION IS THE ONE THAT MATTERS.** **Sound** *is indexable and would index a material rather than an atom, so it sits beside Λ and no such index exists here.* **Frequency** *is ΔE/h an
7	C1-SECTION-POINTER-UNRESOLVED	reg	3119	§784	**REGISTER 815 IS WITHDRAWN: ITS SEVEN "NEW TESTS" OF P.coreblind COMPARED DUPLICATE ROWS, NOT TWO PARENT CORES.** *Ar II's `(³P)ns ⁴P J=5/2` and `3s2.3p4.(3P).ns 4P J=5/2` are the same series from tw
8	C5-REGISTER-POINTER-UNRESOLVED	reg	4667	entry 1000	**AND WRITING IT EXPOSED A THREE-DIGIT REGEX THAT HAD BEEN DROPPING A QUARTER OF THE REGISTER.** *`register_gen.py` matched entry labels with `\d{3}` exactly, so **every entry from 1000 onward — 243 o
9	C2-THEOREM-POINTER-UNPRINTED	reg	5519	Theorem 12.1	**THE NINE STEPS WHERE THE TWO TRAJECTORIES DIFFER ARE NOT A CELL OF THE INDEX ANYWHERE.** *Two trajectories were compared in (Z, a): A, the handshake placement that reproduces the recorded eight, and
10	C1-SECTION-POINTER-UNRESOLVED	reg	5611	§5.7	**THE VIOLATION INDEX AND THE M.C2 THREAD ARE THE SAME CONDITION FROM OPPOSITE SIDES, AND NOTHING JOINED THEM.** *The person asked what the book holds on black holes and wormholes, and the answer is s
11	C1-SECTION-POINTER-UNRESOLVED	reg	5615	§5.7	**REACHABILITY IN THE VIOLATION INDEX IS NOT A THRESHOLD CONDITION, AND THAT IS PROVABLE WITHOUT THE EDGE LIST.** *The companion's reachable column has been treated as needing the unprinted edge list 
12	C2-THEOREM-POINTER-UNPRINTED	reg	6225	Theorem 10.1	**PART III READ WHOLE, AND IT NAMES THE OPERATION THE LAST TWO SESSIONS PERFORMED.** *Second bounded pass on M's instruction to read everything. Chapters 14, 17 and 18 read in full, §18.4.1 included, 
13	C2-THEOREM-POINTER-UNPRINTED	reg	6305	Theorem 11.1	**BOARD ROW 4b CLOSES: THE CLOSURE TEST WAS THE WRONG INSTRUMENT, AND TEMPERATURE IS A COLUMN, NOT AN AXIS.** *Computed: adjoining an UNCONSTRAINED chain T to a closed staircase index keeps E = 0 vacu
