# Ti I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Ti+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Ti+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Ti II (3d2.4s 4F<3/2>)  55072.5 cm-1
#
# 3d2.4s2 ground. Letter prefixes a-h even, z-n odd.
#
# ** THE CLEAREST INSTANCE IN THE WHOLE FETCH OF ONE SPECIES CARRYING
#    BOTH COUPLING SCHEMES AT ONCE, AND THE BOUNDARY IS SHARP:
#
#      below ~47990 cm-1   LS terms throughout (a 3F, z 5G*, e 5H ...)
#      above ~47990 cm-1   Racah 2[K] throughout, on J-RESOLVED parents
#                          written 3d2.4s.(4F<3/2>).4f, (4F<5/2>), etc.
#
#    The 4f and 5g blocks are entirely Racah on four parent-J values
#    each (4F<3/2>, <5/2>, <7/2>, <9/2>); the 4s, 4p, 5s, 5p, 4d, 5d
#    blocks below are entirely LS. THE SAME ATOM, THE SAME TABLE, THE
#    SWITCH HAPPENING AT A DEFINITE ENERGY. **
#
# Register 1602 rebuilt the index on jK coupling for exactly this
# structure; Ti I shows the LS and jK regimes adjacent in one species
# with the crossover visible. RECORDED, NOT ACTED ON.
#
# Only the LS block is transcribed. The Racah 4f/5g blocks are ~90 rows
# the 2S+1 key cannot read (R 1576).
#
# config	term	J	level_cm1
3d2.4s2	a 3F	2	0.000
3d2.4s2	a 3F	3	170.1328
3d2.4s2	a 3F	4	386.874
3d2.4s2	a 1D	2	7255.355
3d2.4s2	a 3P	0	8436.618
3d2.4s2	a 3P	1	8492.422
3d2.4s2	a 3P	2	8602.3441
3d2.4s2	a 1G	4	12118.393
3d3.(4F).4s	a 5F	1	6556.833
3d3.(4F).4s	a 5F	2	6598.765
3d3.(4F).4s	a 5F	3	6661.006
3d3.(4F).4s	a 5F	4	6742.756
3d3.(4F).4s	a 5F	5	6842.962
3d3.(4F).4s	b 3F	2	11531.761
3d3.(4F).4s	b 3F	3	11639.8109
3d3.(4F).4s	b 3F	4	11776.812
3d3.(4P).4s	a 5P	1	13981.773
3d3.(4P).4s	a 5P	2	14028.436
3d3.(4P).4s	a 5P	3	14105.634
3d3.(4P).4s	c 3P	0	18818.099
3d3.(4P).4s	c 3P	1	18825.782
3d3.(4P).4s	c 3P	2	18911.394
3d3.(2G).4s	a 3G	3	15108.111
3d3.(2G).4s	a 3G	4	15156.802
3d3.(2G).4s	a 3G	5	15220.393
3d3.(2G).4s	b 1G	4	18287.554
3d3.(2D2).4s	a 3D	1	17369.529
3d3.(2D2).4s	a 3D	2	17423.856
3d3.(2D2).4s	a 3D	3	17540.188
3d3.(2D2).4s	b 1D	2	20209.447
3d3.(2P).4s	b 3P	0	17995.487
3d3.(2P).4s	b 3P	1	18061.387
3d3.(2P).4s	b 3P	2	18145.286
