id	verdict	reason
293	not a defect	C6 numbers-not-in-source at mc "The modular ledger" (census line 2406): the nine numerals census.py could not find in the cited entries are the block's own four Register pointers (1019, 1035, 1483, 1484 — 1020 and 1022 are "in source" only because 1483 and 1484 name them) and the five journal locators of its prior-art line (Borchers, CMP 143 (1992) 315–332; Wiesbrock, LMP 28 (1993) 107–114). A pointer is an address and a locator is a citation; the class asks for a figure the block states about its object that its sources do not carry, and there is none. Measured by r2-bib.py §3; carried open from 27a (engaged, not closed) and closed here
387	defect	C13 handle leak at mc L3384, `B.newton` in the bibliography table's `objects` column. One class at one site, closed on all 286 rows together: the column prints 265 handles, the compendium states none of them as an object's own name anywhere outside the table (six appear only as references inside other entries), 122 resolve only in another volume and 137 resolve nowhere; the handle-to-object map is mathreg.py's, which is not a member (docket 38, with docket 28 / ruling 46 and precedent 1546). Measured by r2-bib.py §2; carried open from 28a2 and closed here. Recorded, not repaired
388	defect	C13 handle leak at mc L3385, `B.brk` in the bibliography table's `objects` column. One class at one site, closed on all 286 rows together: the column prints 265 handles, the compendium states none of them as an object's own name anywhere outside the table (six appear only as references inside other entries), 122 resolve only in another volume and 137 resolve nowhere; the handle-to-object map is mathreg.py's, which is not a member (docket 38, with docket 28 / ruling 46 and precedent 1546). Measured by r2-bib.py §2; carried open from 28a2 and closed here. Recorded, not repaired
389	defect	C13 handle leak at mc L3386, `B.ordbr` in the bibliography table's `objects` column. One class at one site, closed on all 286 rows together: the column prints 265 handles, the compendium states none of them as an object's own name anywhere outside the table (six appear only as references inside other entries), 122 resolve only in another volume and 137 resolve nowhere; the handle-to-object map is mathreg.py's, which is not a member (docket 38, with docket 28 / ruling 46 and precedent 1546). Measured by r2-bib.py §2; carried open from 28a2 and closed here. Recorded, not repaired
390	defect	C13 handle leak at mc L3387, `B.frac` in the bibliography table's `objects` column. One class at one site, closed on all 286 rows together: the column prints 265 handles, the compendium states none of them as an object's own name anywhere outside the table (six appear only as references inside other entries), 122 resolve only in another volume and 137 resolve nowhere; the handle-to-object map is mathreg.py's, which is not a member (docket 38, with docket 28 / ruling 46 and precedent 1546). Measured by r2-bib.py §2; carried open from 28a2 and closed here. Recorded, not repaired
391	defect	C13 handle leak at mc L3387, `B.pole` in the bibliography table's `objects` column. One class at one site, closed on all 286 rows together: the column prints 265 handles, the compendium states none of them as an object's own name anywhere outside the table (six appear only as references inside other entries), 122 resolve only in another volume and 137 resolve nowhere; the handle-to-object map is mathreg.py's, which is not a member (docket 38, with docket 28 / ruling 46 and precedent 1546). Measured by r2-bib.py §2; carried open from 28a2 and closed here. Recorded, not repaired
392	defect	C13 handle leak at mc L3388, `G.graph` in the bibliography table's `objects` column. One class at one site, closed on all 286 rows together: the column prints 265 handles, the compendium states none of them as an object's own name anywhere outside the table (six appear only as references inside other entries), 122 resolve only in another volume and 137 resolve nowhere; the handle-to-object map is mathreg.py's, which is not a member (docket 38, with docket 28 / ruling 46 and precedent 1546). Measured by r2-bib.py §2; carried open from 28a2 and closed here. Recorded, not repaired
393	defect	C13 handle leak at mc L3390, `C.box` in the bibliography table's `objects` column. One class at one site, closed on all 286 rows together: the column prints 265 handles, the compendium states none of them as an object's own name anywhere outside the table (six appear only as references inside other entries), 122 resolve only in another volume and 137 resolve nowhere; the handle-to-object map is mathreg.py's, which is not a member (docket 38, with docket 28 / ruling 46 and precedent 1546). Measured by r2-bib.py §2; carried open from 28a2 and closed here. Recorded, not repaired
394	defect	C13 handle leak at mc L3391, `3B.five` in the bibliography table's `objects` column. One class at one site, closed on all 286 rows together: the column prints 265 handles, the compendium states none of them as an object's own name anywhere outside the table (six appear only as references inside other entries), 122 resolve only in another volume and 137 resolve nowhere; the handle-to-object map is mathreg.py's, which is not a member (docket 38, with docket 28 / ruling 46 and precedent 1546). Measured by r2-bib.py §2; carried open from 28a2 and closed here. Recorded, not repaired
395	defect	C13 handle leak at mc L3392, `3B.norm` in the bibliography table's `objects` column. One class at one site, closed on all 286 rows together: the column prints 265 handles, the compendium states none of them as an object's own name anywhere outside the table (six appear only as references inside other entries), 122 resolve only in another volume and 137 resolve nowhere; the handle-to-object map is mathreg.py's, which is not a member (docket 38, with docket 28 / ruling 46 and precedent 1546). Measured by r2-bib.py §2; carried open from 28a2 and closed here. Recorded, not repaired
