# Ti II — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Ti+II&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED against sent. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# LIMIT:  Ti III (3d2 3F<2>)  109494 cm-1
#
# ** A NOTATION FEATURE NOT SEEN IN THE PREVIOUS TWELVE: LETTER PREFIXES.
#    Terms read "a 4F", "b 4F", "z 4G*", "y 2D*", "x 2F*", "w 2D*", "v 2F*".
#    The letter distinguishes DIFFERENT TERMS OF THE SAME LS SYMBOL —
#    a 4F at 0.0 and b 4F at 907.97 are both quartet-F and are not the
#    same channel. **
#
#    THE INDEX KEY (Z, charge, l, 2S+1) CANNOT TELL THEM APART. This is
#    register 1626's finding arriving from the data side: multiplicity
#    moves between problems, and here two problems wear one label.
#    Recorded for the reading pass; NOT resolved here.
#
# THE SERIES, which are the keyable part — all on the 3d2.(3F) parent:
#    ns  n = 4, 5, 6      4F and 2F
#    np  n = 4, 5         4G*, 4F*, 4D*, 2F*, 2D*, 2G*
#    nd  n = 4, 5         4G, 4H, 4D, 4P, 2F, 2G, 2H, 2D, 2P
#    nf  n = 4            4H*, 4G*, 4I*, 4D*, 4F*, 2G*, 2H*, 2F*, 2I*, 2P*
#
# config	term	J	level_cm1
3d2.(3F).4s	a 4F	3/2	0.0000
3d2.(3F).4s	a 4F	5/2	94.1142
3d2.(3F).4s	a 4F	7/2	225.7039
3d2.(3F).4s	a 4F	9/2	393.4459
3d2.(3F).4s	a 2F	5/2	4628.6571
3d2.(3F).4s	a 2F	7/2	4897.7179
3d2.(3F).5s	e 4F	3/2	62180.4011
3d2.(3F).5s	e 4F	5/2	62272.3881
3d2.(3F).5s	e 4F	7/2	62410.9628
3d2.(3F).5s	e 4F	9/2	62595.1650
3d2.(3F).5s	e 2F	5/2	63169.0910
3d2.(3F).5s	e 2F	7/2	63446.0264
3d2.(3F).6s	4F	3/2	82839.341
3d2.(3F).6s	4F	5/2	82914.301
3d2.(3F).6s	4F	7/2	83058.538
3d2.(3F).6s	4F	9/2	83257.2496
3d2.(3F).6s	2F	5/2	83245.315
3d2.(3F).6s	2F	7/2	83519.365
3d2.(3F).4p	z 4G*	5/2	29544.4540
3d2.(3F).4p	z 4G*	7/2	29734.6206
3d2.(3F).4p	z 4G*	9/2	29968.3304
3d2.(3F).4p	z 4G*	11/2	30240.9396
3d2.(3F).4p	z 4F*	3/2	30836.4250
3d2.(3F).4p	z 4F*	5/2	30958.5846
3d2.(3F).4p	z 4F*	7/2	31113.6764
3d2.(3F).4p	z 4F*	9/2	31301.0653
3d2.(3F).4p	z 2F*	5/2	31207.5111
3d2.(3F).4p	z 2F*	7/2	31490.9177
3d2.(3F).4p	z 2D*	3/2	31756.6406
3d2.(3F).4p	z 2D*	5/2	32025.5915
3d2.(3F).4p	z 4D*	1/2	32532.3542
3d2.(3F).4p	z 4D*	3/2	32602.6265
3d2.(3F).4p	z 4D*	5/2	32698.1022
3d2.(3F).4p	z 4D*	7/2	32767.1961
3d2.(3F).4p	z 2G*	7/2	34543.3799
3d2.(3F).4p	z 2G*	9/2	34748.5062
3d2.(3F).5p	4G*	5/2	71461.7932
3d2.(3F).5p	4G*	7/2	71586.2514
3d2.(3F).5p	4G*	9/2	71747.6684
3d2.(3F).5p	4G*	11/2	71946.0817
3d2.(3F).5p	4F*	3/2	71728.4971
3d2.(3F).5p	4F*	5/2	71825.9911
3d2.(3F).5p	4F*	7/2	71960.4326
3d2.(3F).5p	4F*	9/2	72126.9130
3d2.(3F).5p	4D*	1/2	72270.5521
3d2.(3F).5p	4D*	3/2	72338.2060
3d2.(3F).5p	4D*	5/2	72451.6968
3d2.(3F).5p	4D*	7/2	72608.9742
3d2.(3F).5p	2G*	7/2	72884.5221
3d2.(3F).5p	2G*	9/2	73133.5489
3d2.(3F).5p	2F*	5/2	73522.8997
3d2.(3F).5p	2F*	7/2	73800.7705
3d2.(3F).5p	2D*	3/2	73950.1912
3d2.(3F).5p	2D*	5/2	74645.2073
3d2.(3F).4d	e 4G	5/2	64886.6693
3d2.(3F).4d	e 4G	7/2	64979.2810
3d2.(3F).4d	e 4G	9/2	65095.9741
3d2.(3F).4d	e 4G	11/2	65243.6290
3d2.(3F).4d	e 4H	7/2	65186.8680
3d2.(3F).4d	e 4H	9/2	65308.4355
3d2.(3F).4d	e 4H	11/2	65446.3822
3d2.(3F).4d	e 4H	13/2	65590.4928
3d2.(3F).4d	4D	1/2	65214.1729
3d2.(3F).4d	4D	3/2	65274.8247
3d2.(3F).4d	4D	5/2	65397.7388
3d2.(3F).4d	4D	7/2	65460.1706
3d2.(3F).4d	f 2F	5/2	65314.4599
3d2.(3F).4d	f 2F	7/2	65598.8926
3d2.(3F).4d	2P	1/2	66521.210
3d2.(3F).4d	2P	3/2	66794.2052
3d2.(3F).4d	4P	1/2	67437.5295
3d2.(3F).4d	4P	3/2	67549.2547
3d2.(3F).4d	4P	5/2	67699.4431
3d2.(3F).4d	e 2G	7/2	67606.1621
3d2.(3F).4d	e 2G	9/2	67822.5867
3d2.(3F).4d	e 2H	9/2	68331.1599
3d2.(3F).4d	e 2H	11/2	68584.4792
3d2.(3F).4d	2D	3/2	68364.5454
3d2.(3F).4d	2D	5/2	68482.5767
3d2.(3F).4d	f 4F	3/2	68769.3365
3d2.(3F).4d	f 4F	5/2	68846.699
3d2.(3F).4d	f 4F	7/2	68952.1302
3d2.(3F).4d	f 4F	9/2	69084.6309
3d2.(3F).5d	4G	5/2	84268.971
3d2.(3F).5d	4G	7/2	84360.507
3d2.(3F).5d	4G	9/2	84490.976
3d2.(3F).5d	4H	7/2	84369.880
3d2.(3F).5d	4H	9/2	84512.7943
3d2.(3F).5d	4H	11/2	84632.249
3d2.(3F).5d	4H	13/2	84722.279
3d2.(3F).5d	4D	3/2	84510.157
3d2.(3F).5d	4D	5/2	84644.617
3d2.(3F).5d	4D	7/2	84652.443
3d2.(3F).4f	4H*	7/2	81627.830
3d2.(3F).4f	4H*	9/2	81676.4409
3d2.(3F).4f	4H*	11/2	81754.1387
3d2.(3F).4f	4H*	13/2	82073.0114
3d2.(3F).4f	2G*	7/2	81685.979
3d2.(3F).4f	2G*	9/2	81842.2440
3d2.(3F).4f	4G*	5/2	81724.330
3d2.(3F).4f	4G*	7/2	81861.0276
3d2.(3F).4f	4G*	9/2	82078.561
3d2.(3F).4f	4G*	11/2	82103.1876
3d2.(3F).4f	4I*	9/2	81738.2883
3d2.(3F).4f	4I*	11/2	81889.5772
3d2.(3F).4f	4I*	13/2	81919.6886
3d2.(3F).4f	4I*	15/2	82164.075
3d2.(3F).4f	4D*	3/2	81771.556
3d2.(3F).4f	4D*	5/2	81774.158
3d2.(3F).4f	4D*	7/2	82134.1565
3d2.(3F).4f	4F*	3/2	81867.876
3d2.(3F).4f	4F*	7/2	81913.0457
3d2.(3F).4f	4F*	5/2	81943.4136
3d2.(3F).4f	4F*	9/2	82147.7069
3d2.(3F).4f	2H*	9/2	81924.127
3d2.(3F).4f	2H*	11/2	82183.471
3d2.(3F).4f	2F*	5/2	81997.005
3d2.(3F).4f	2F*	7/2	82151.461
3d2.(3F).4f	2I*	11/2	82001.109
3d2.(3F).4f	2I*	13/2	82284.367
3d2.(3F).4f	2P*	1/2	82065.643
3d2.(3F).4f	4P*	5/2	82246.515
3d2.(3F).4f	2D*	5/2	82319.068
3d2.(3F).4f	4S*	3/2	82370.216
