# Quantum defects from TOPbase (the Opacity Project database), as tabulated by
# A. de Kertanguy, arXiv:1308.1017, Tables A-D. Reached by following the
# citation trail from Theodosiou, Inokuti & Manson, ADNDT 35, 473 (1986),
# which this paper cites as its reference [4] and could not itself be obtained.
#
# *** THEORY, NOT MEASUREMENT. NOT WITNESSED. ***
# Cross-checked against Theodosiou 1986: TOPbase tracks his HARTREE-SLATER
# CALCULATION, not his experiment column. Mg I s is 1.544 here against HS 1.540
# and experiment 1.60. So these cells cannot raise the witnessed count. What
# they CAN do is serve as a third independent theoretical face (R 1575's
# sudoku) across a full ionisation ladder, which no held source provides.
#
# "Ionization Number Zi" in the source is the ELECTRON COUNT, not the charge.
# Established by two independent readings: Zi = 1 gives delta ~ 0 (one electron)
# and Zi = 3 for lithium gives 0.3995, which is neutral Li's known s-defect.
#   spectroscopic charge z = Z - Zi + 1
#
# TWO ANOMALIES FLAGGED, NOT SILENTLY PASSED:
#   O  at Zi=2 gives delta_s 0.307, HIGHER than Zi=3's 0.111 - non-monotone
#      where every other chain falls monotonically toward the one-electron zero.
#   Mg at Zi=9 gives delta_p 0.696, IDENTICAL to its delta_s. Every other row
#      has delta_p < delta_s. Both read as transcription faults in the source.
#
# Z	el	Nelec	z	l	delta	flag
3	Li	3	1	0	0.3995	
3	Li	3	1	1	0.0438	
3	Li	2	2	0	0.181	
3	Li	2	2	1	0.053	
3	Li	1	3	0	0.0071	one electron, should be 0
3	Li	1	3	1	-0.045	one electron, should be 0
8	O	8	1	0	1.141	
8	O	8	1	1	0.591	
8	O	7	2	0	0.861	
8	O	7	2	1	0.564	
8	O	6	3	0	0.539	
8	O	6	3	1	0.311	
8	O	5	4	0	0.431	
8	O	5	4	1	0.121	
8	O	4	5	0	0.227	
8	O	4	5	1	0.008	
8	O	3	6	0	0.111	
8	O	3	6	1	0.002	
8	O	2	7	0	0.307	NON-MONOTONE - above Zi=3
8	O	2	7	1	-0.0073	
8	O	1	8	0	0.0	
8	O	1	8	1	0.0	
11	Na	11	1	0	1.342	
11	Na	11	1	1	0.852	
11	Na	10	2	0	0.989	
11	Na	10	2	1	0.518	
11	Na	9	3	0	0.812	
11	Na	9	3	1	0.498	
11	Na	8	4	0	0.653	
11	Na	8	4	1	0.372	
11	Na	7	5	0	0.415	
11	Na	7	5	1	0.289	
11	Na	6	6	0	0.325	
11	Na	6	6	1	0.211	
11	Na	5	7	0	0.283	
11	Na	5	7	1	0.087	
11	Na	4	8	0	0.153	
11	Na	4	8	1	-0.0123	
11	Na	3	9	0	0.078	
11	Na	3	9	1	0.021	
11	Na	2	10	0	0.014	
11	Na	2	10	1	-0.0053	
11	Na	1	11	0	0.0	
11	Na	1	11	1	0.0	
12	Mg	12	1	0	1.544	
12	Mg	12	1	1	0.982	
12	Mg	11	2	0	1.069	
12	Mg	11	2	1	0.700	
12	Mg	10	3	0	0.829	
12	Mg	10	3	1	0.417	
12	Mg	9	4	0	0.696	
12	Mg	9	4	1	0.696	IDENTICAL to delta_s - suspect
12	Mg	8	5	0	0.517	
12	Mg	8	5	1	0.426	
12	Mg	7	6	0	0.438	
12	Mg	7	6	1	0.368	
12	Mg	6	7	0	0.307	
12	Mg	6	7	1	0.233	
12	Mg	5	8	0	0.225	
12	Mg	5	8	1	0.154	
12	Mg	4	9	0	0.138	
12	Mg	4	9	1	0.071	
12	Mg	3	10	0	0.071	
12	Mg	3	10	1	0.015	
12	Mg	2	11	0	0.071	
12	Mg	2	11	1	-0.0043	
12	Mg	1	12	0	0.0	
12	Mg	1	12	1	0.0	
