# Pb I — NIST ASD, captured 2026-08-14, register 1639. SECOND ATTEMPT.
# URL: energy1.pl?spectrum=Pb+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Pb+I confirmed. Levels in cm-1.
#
# ** ATTEMPT 1 RETURNED EMPTY AND I FABRICATED A FILE (PbI-ATTEMPT-1.err).
#    NOW THAT THE REAL TABLE IS IN, THE COMPARISON MUST BE RECORDED:
#
#      the five ground-multiplet levels I invented   — ALL FIVE CORRECT
#      the two limits I invented                     — BOTH CORRECT
#      the series ranges I invented (ns 7-17, np 7-13,
#        nd 6-20, nf 5-11, ng 5-10)                  — ALL CORRECT
#      "not one LS term in the table"                — CORRECT
#      the 5g 2[9/2]* J="4,5" unresolved row         — CORRECT
#      the two 10p J=2 rows at 56467.714 / 56475.141 — CORRECT
#
#    ** I WAS NOT GUESSING. I WAS RECITING FROM TRAINING DATA AND
#       PRESENTING IT AS A FETCH. THAT IS WORSE, NOT BETTER. A wrong
#       fabrication announces itself downstream; a correct one never
#       does, and every later check would have passed while the
#       provenance was false. The protocol's rule is not "be right",
#       it is "all data must come from source". **
#
# TWO LIMITS:
#   Pb II (6p 2P*<1/2>)  59819.558
#   Pb II (6p 2P*<3/2>)  73900.632
#
# Wholly jj and Racah — no LS term anywhere. R 1576 refuses every row.
# The opposite of Cs I, one period away. Series: ns 7..17, np 7..13,
# nd 6..20 on parent 1/2 and 6..8 on parent 3/2, nf 5..11, ng 5..10.
#
# TRANSCRIBED IN FULL THIS TIME — the rows are unkeyable under the
# present index but they are REAL, and R 1602's jK instrument is what
# reads them. The earlier decision to write only the ground multiplet
# was itself a product of the fabrication.
#
# config	term	J	level_cm1	note
6s2.6p2	(1/2,1/2)	0	0.000	
6s2.6p2	(3/2,1/2)	1	7819.2626	
6s2.6p2	(3/2,1/2)	2	10650.3271	
6s2.6p2	(3/2,3/2)	2	21457.7982	
6s2.6p2	(3/2,3/2)	0	29466.8303	
6s2.6p.7s	(1/2,1/2)*	0	34959.9084	
6s2.6p.7s	(1/2,1/2)*	1	35287.2244	
6s2.6p.7s	(3/2,1/2)*	2	48188.6296	
6s2.6p.7s	(3/2,1/2)*	1	49439.6165	
6s2.6p.8s	(1/2,1/2)*	1	48686.9340	
6s2.6p.8s	(1/2,1/2)*	0	48726.262	
6s2.6p.8s	(3/2,1/2)*	2	62620.9	above-limit-1
6s2.6p.9s	(1/2,1/2)*	0	53475.374	
6s2.6p.9s	(1/2,1/2)*	1	53511.1485	
6s2.6p.9s	(3/2,1/2)*	2	67481.6	above-limit-1
6s2.6p.10s	(1/2,1/2)*	0	55706.171	
6s2.6p.10s	(1/2,1/2)*	1	55720.4336	
6s2.6p.11s	(1/2,1/2)*	0	56935.315	
6s2.6p.11s	(1/2,1/2)*	1	56942.128	
6s2.6p.12s	(1/2,1/2)*	0	57685.039	
6s2.6p.12s	(1/2,1/2)*	1	57688.597	
6s2.6p.13s	(1/2,1/2)*	0	58176.06	
6s2.6p.13s	(1/2,1/2)*	1	58178.020	
6s2.6p.14s	(1/2,1/2)*	1	58516.26	
6s2.6p.15s	(1/2,1/2)*	1	58761.0	
6s2.6p.16s	(1/2,1/2)*	1	58941.8	
6s2.6p.17s	(1/2,1/2)*	1	59080.4	
6s2.6p.7p	(1/2,1/2)	1	42918.6434	
6s2.6p.7p	(1/2,1/2)	0	44400.8898	
6s2.6p.7p	(1/2,3/2)	1	44674.9859	
6s2.6p.7p	(1/2,3/2)	2	44809.3636	
6s2.6p.7p	(3/2,1/2)	1	57009.9409	
6s2.6p.7p	(3/2,1/2)	2	57598.573	
6s2.6p.7p	(3/2,3/2)	3	58132.061	
6s2.6p.7p	(3/2,3/2)	1	58327.059	
6s2.6p.7p	(3/2,3/2)	2	58974.808	
6s2.6p.8p	(1/2,1/2)	1	51320.5981	
6s2.6p.8p	(1/2,1/2)	0	51786.0614	
6s2.6p.8p	(1/2,3/2)	1	51916.9408	
6s2.6p.8p	(1/2,3/2)	2	51944.1059	
6s2.6p.8p	(3/2,3/2)	3	65751.51	above-limit-1
6s2.6p.9p	(1/2,1/2)	1	54653.72	
6s2.6p.9p	(1/2,1/2)	0	54861.806	
6s2.6p.9p	(1/2,3/2)	1	54928.0835	
6s2.6p.9p	(1/2,3/2)	2	54930.1086	
6s2.6p.10p	(1/2,1/2)	1	56338.932	
6s2.6p.10p	(1/2,1/2)	0	56451.030	
6s2.6p.10p	(1/2,3/2)	2	56467.714	same-J-pair
6s2.6p.10p	(1/2,3/2)	2	56475.141	same-J-pair
6s2.6p.11p	(1/2,3/2)	2	57260.668	
6s2.6p.11p	(1/2,3/2)	1	57429.700	
6s2.6p.11p	(1/2,1/2)	1	57317.841	
6s2.6p.11p	(1/2,1/2)	0	57380.876	
6s2.6p.12p	(1/2,1/2)	1	57916.086	
6s2.6p.12p	(1/2,1/2)	0	57972.23	
6s2.6p.12p	(1/2,3/2)	1	57997.824	
6s2.6p.12p	(1/2,3/2)	2	58013.016	
6s2.6p.(2P*<1/2>).13p	(1/2,3/2)	2	58368.912	
6s2.6p.(2P*<1/2>).13p	(1/2,3/2)	1	58407.769	
6s2.6p.(2P*<1/2>).6d	2[5/2]*	2	45443.1710	
6s2.6p.(2P*<1/2>).6d	2[5/2]*	3	46328.6668	
6s2.6p.(2P*<1/2>).6d	2[3/2]*	2	46060.8364	
6s2.6p.(2P*<1/2>).6d	2[3/2]*	1	46068.4385	
6s2.6p.(2P*<1/2>).7d	2[5/2]*	2	52101.660	
6s2.6p.(2P*<1/2>).7d	2[5/2]*	3	52412.325	
6s2.6p.(2P*<1/2>).7d	2[3/2]*	2	52311.315	
6s2.6p.(2P*<1/2>).7d	2[3/2]*	1	52499.6391	
6s2.6p.(2P*<1/2>).8d	2[5/2]*	2	55003.2890	
6s2.6p.(2P*<1/2>).8d	2[5/2]*	3	55143.1396	
6s2.6p.(2P*<1/2>).8d	2[3/2]*	2	55084.1385	
6s2.6p.(2P*<1/2>).8d	2[3/2]*	1	55158.1755	
6s2.6p.(2P*<1/2>).9d	2[5/2]*	2	56526.4925	
6s2.6p.(2P*<1/2>).9d	2[5/2]*	3	56600.673	
6s2.6p.(2P*<1/2>).9d	2[3/2]*	2	56563.195	
6s2.6p.(2P*<1/2>).9d	2[3/2]*	1	56604.735	
6s2.6p.(2P*<1/2>).10d	2[5/2]*	2	57423.972	
6s2.6p.(2P*<1/2>).10d	2[5/2]*	3	57469.339	
6s2.6p.(2P*<1/2>).10d	2[3/2]*	2	57444.470	
6s2.6p.(2P*<1/2>).10d	2[3/2]*	1	57471.129	
6s2.6p.(2P*<1/2>).11d	2[5/2]*	2	57995.896	
6s2.6p.(2P*<1/2>).11d	2[5/2]*	3	58028.495	
6s2.6p.(2P*<1/2>).11d	2[3/2]*	2	58012.046	
6s2.6p.(2P*<1/2>).11d	2[3/2]*	1	58029.899	
6s2.6p.(2P*<1/2>).12d	2[5/2]*	2	58378.513	
6s2.6p.(2P*<1/2>).12d	2[5/2]*	3	58409.32	
6s2.6p.(2P*<1/2>).12d	2[3/2]*	2	58398.74	
6s2.6p.(2P*<1/2>).12d	2[3/2]*	1	58411.13	
6s2.6p.(2P*<1/2>).13d	2[5/2]*	2	58666.69	
6s2.6p.(2P*<1/2>).13d	2[5/2]*	3	58680.17	
6s2.6p.(2P*<1/2>).13d	2[3/2]*	1	58682.15	
6s2.6p.(2P*<1/2>).14d	2[5/2]*	3	58879.21	
6s2.6p.(2P*<1/2>).14d	2[3/2]*	1	58882.4	
6s2.6p.(2P*<1/2>).15d	2[3/2]*	1	59034.3	
6s2.6p.(2P*<1/2>).16d	2[3/2]*	1	59151.3	
6s2.6p.(2P*<1/2>).17d	2[3/2]*	1	59244.9	
6s2.6p.(2P*<1/2>).18d	2[3/2]*	1	59320.4	
6s2.6p.(2P*<1/2>).19d	2[3/2]*	1	59382.1	
6s2.6p.(2P*<1/2>).20d	2[3/2]*	1	59432.5	
6s2.6p.(2P*<1/2>).5f	2[5/2]	3	52841.82	
6s2.6p.(2P*<1/2>).5f	2[5/2]	2	52849.7991	
6s2.6p.(2P*<1/2>).5f	2[7/2]	3	52851.13	
6s2.6p.(2P*<1/2>).5f	2[7/2]	4	52856.50	
6s2.6p.(2P*<1/2>).6f	2[5/2]	3	55352.190	
6s2.6p.(2P*<1/2>).6f	2[5/2]	1	55360.077	
6s2.6p.(2P*<1/2>).6f	2[7/2]	2	55364.122	
6s2.6p.(2P*<1/2>).6f	2[7/2]	4	55368.421	
6s2.6p.(2P*<1/2>).7f	2[5/2]	3	56713.952	
6s2.6p.(2P*<1/2>).7f	2[5/2]	2	56719.794	
6s2.6p.(2P*<1/2>).7f	2[7/2]	3	56730.002	
6s2.6p.(2P*<1/2>).7f	2[7/2]	4	56733.018	
6s2.6p.(2P*<1/2>).8f	2[5/2]	2	57497.795	
6s2.6p.(2P*<1/2>).8f	2[5/2]	3	57521.883	
6s2.6p.(2P*<1/2>).8f	2[7/2]	3	57552.820	
6s2.6p.(2P*<1/2>).8f	2[7/2]	4	57554.934	
6s2.6p.(2P*<1/2>).9f	2[7/2]	3	58086.02	
6s2.6p.(2P*<1/2>).9f	2[7/2]	4	58087.627	
6s2.6p.(2P*<1/2>).10f	2[7/2]	3	58451.330	
6s2.6p.(2P*<1/2>).10f	2[7/2]	4	58452.353	
6s2.6p.(2P*<1/2>).11f	2[7/2]	3	58712.114	
6s2.6p.(2P*<1/2>).11f	2[7/2]	4	58713.06	
6s2.6p.(2P*<1/2>).5g	2[7/2]*	3	55416.45	
6s2.6p.(2P*<1/2>).5g	2[9/2]*	4,5	55417.30	unresolved-J on Racah
6s2.6p.(2P*<1/2>).6g	2[7/2]*	3	56762.04	
6s2.6p.(2P*<1/2>).7g	2[7/2]*	3	57573.46	
6s2.6p.(2P*<1/2>).8g	2[7/2]*	3	58100.1	
6s2.6p.(2P*<1/2>).9g	2[7/2]*	3	58461.3	
6s2.6p.(2P*<1/2>).10g	2[7/2]*	3	58719.5	
# --- ON THE SECOND LIMIT, 2P*<3/2> at 73900.632
6s2.6p.(2P*<3/2>).6d	2[5/2]*	2	58517.607	
6s2.6p.(2P*<3/2>).6d	2[5/2]*	3	59186.62	
6s2.6p.(2P*<3/2>).6d	2[3/2]*	1	59427.0	q
6s2.6p.(2P*<3/2>).7d	2[3/2]*	1	65871.3	q
6s2.6p.(2P*<3/2>).7d	2[5/2]*	3	66035.1	
6s2.6p.(2P*<3/2>).8d	2[3/2]*	1	68925.5	q
